order_id,channel,delivery_days,paid_amount,satisfaction,repeat_purchase
O0001,Store,5,182.81,2,0
O0002,Store,1,153.78,4,1
O0003,Web,2,145.77,4,1
O0004,Web,3,118.13,4,1
O0005,Store,4,284.18,5,1
O0006,App,1,97.78,5,1
O0007,Web,1,200.53,5,0
O0008,Store,1,112.36,5,1
O0009,App,7,151.57,3,1
O0010,Web,9,178.52,3,1
O0011,Web,4,113.0,4,1
O0012,App,1,62.55,4,0
O0013,App,9,220.89,3,0
O0014,App,5,281.77,3,0
O0015,Store,2,299.95,5,1
O0016,Web,7,160.18,4,1
O0017,Web,4,142.23,5,1
O0018,App,8,76.3,2,0
O0019,Store,1,238.09,5,1
O0020,Store,5,169.96,3,1
O0021,Store,3,121.39,4,1
O0022,Store,6,189.44,3,0
O0023,Web,4,108.98,4,0
O0024,Store,8,124.61,2,0
O0025,App,4,98.15,4,1
O0026,Store,3,237.5,5,1
O0027,App,2,242.2,4,1
O0028,Web,4,246.6,4,1
O0029,Store,7,168.63,3,0
O0030,App,3,245.66,4,0
O0031,Web,5,170.35,3,1
O0032,Store,4,207.05,4,1
O0033,Web,2,170.66,5,1
O0034,App,4,95.59,3,1
O0035,App,6,318.77,3,1
O0036,App,4,249.42,5,1
O0037,Web,4,54.61,4,0
O0038,Store,3,64.71,5,1
O0039,App,2,202.53,5,1
O0040,Web,6,50.51,3,0
O0041,Web,7,164.4,2,0
O0042,Web,9,80.37,2,1
O0043,App,1,141.43,5,1
O0044,Store,6,74.97,4,1
O0045,Web,6,209.46,3,0
O0046,App,5,57.97,4,0
O0047,Store,1,295.98,4,1
O0048,Store,8,230.15,4,0
O0049,App,4,166.63,5,1
O0050,App,9,202.53,2,0
O0051,Store,2,214.98,2,0
O0052,Web,4,193.73,4,0
O0053,Web,1,226.48,5,1
O0054,Store,9,181.13,2,1
O0055,App,9,47.65,3,0
O0056,Store,2,143.0,3,0
O0057,App,3,54.44,5,1
O0058,Store,2,182.94,4,0
O0059,Web,2,313.48,4,1
O0060,Web,5,158.44,4,0
O0061,App,5,286.93,3,0
O0062,Web,1,107.55,4,0
O0063,Web,8,66.37,3,1
O0064,Web,3,297.41,4,1
O0065,Web,9,203.91,2,1
O0066,Web,9,222.99,3,1
O0067,App,8,119.57,2,0
O0068,Store,6,293.54,5,0
O0069,Store,5,292.48,4,1
O0070,Store,3,51.54,5,1
O0071,Web,9,97.76,1,0
O0072,Web,2,193.56,4,1
O0073,Store,6,203.95,3,0
O0074,Store,2,89.55,4,1
O0075,Web,9,71.7,3,0
O0076,Web,8,202.97,1,1
O0077,Store,3,147.04,4,0
O0078,App,5,201.92,4,1
O0079,Store,2,207.25,5,0
O0080,Web,2,189.66,5,0
O0081,Web,3,233.54,5,0
O0082,Store,6,98.5,4,1
O0083,App,5,195.64,3,0
O0084,Web,7,69.04,3,1
O0085,Web,3,153.32,3,0
O0086,App,4,43.15,4,1
O0087,Web,2,130.56,5,1
O0088,App,8,95.08,1,0
O0089,Store,3,56.42,3,0
O0090,App,9,237.17,2,0
O0091,Store,9,55.29,2,0
O0092,Web,8,285.44,2,1
O0093,Web,7,282.46,2,0
O0094,Store,6,165.73,3,1
O0095,Web,1,262.46,5,0
O0096,App,3,99.3,3,0
O0097,Store,6,232.28,2,1
O0098,Web,1,96.47,5,0
O0099,Web,5,64.14,3,1
O0100,Web,2,79.73,3,1
O0101,App,5,224.5,4,1
O0102,Web,7,164.85,4,1
O0103,Web,4,161.31,4,1
O0104,App,5,173.22,5,1
O0105,Web,8,240.39,3,1
O0106,App,7,202.58,4,1
O0107,Store,3,257.06,3,1
O0108,Web,1,270.07,4,1
O0109,Store,2,311.91,4,0
O0110,App,3,264.01,5,1
O0111,Store,8,213.09,3,1
O0112,Web,1,211.71,4,0
O0113,App,4,60.17,4,1
O0114,Store,2,83.99,4,1
O0115,Store,2,174.3,4,1
O0116,Web,5,180.41,2,0
O0117,Web,2,207.0,3,1
O0118,Web,5,85.39,3,1
O0119,Web,7,289.62,3,0
O0120,App,7,120.77,3,1
