category,group,sample,value,mean,error
,Cont,1,130,205,23
,Cont,2,142,205,23
,Cont,3,162,205,23
,Cont,4,177,205,23
,Cont,5,130,205,23
,Cont,6,130,205,23
,Cont,7,170,205,23
,Cont,8,205,205,23
,Cont,9,270,205,23
,Cont,10,278,205,23
,Cont,11,334,205,23
,Cont,12,338,205,23
,pcna,1,10,75,14
,pcna,2,52,75,14
,pcna,3,62,75,14
,pcna,4,71,75,14
,pcna,5,77,75,14
,pcna,6,78,75,14
,pcna,7,81,75,14
,pcna,8,120,75,14
,pcna,9,115,75,14
,pcna,10,122,75,14
,foxj1a,1,17,55,15
,foxj1a,2,25,55,15
,foxj1a,3,31,55,15
,foxj1a,4,43,55,15
,foxj1a,5,48,55,15
,foxj1a,6,54,55,15
,foxj1a,7,57,55,15
,foxj1a,8,58,55,15
,foxj1a,9,60,55,15
,foxj1a,10,60,55,15
,foxj1a,11,67,55,15
,foxj1a,12,74,55,15
,foxj1a,13,84,55,15
,foxj1a,14,89,55,15
,foxj1a,15,207,55,15
,foxj1a,16,39,55,15
,foxj1a,17,20,55,15
,foxj1a,18,56,55,15
