group,day,mean,error
"Non-
SMK",0,0,0
"Non-
SMK",7,7.4,0.7
"Non-
SMK",14,15,1.2
"Non-
SMK",21,18.4,1.7
"Non-
SMK",28,25.0,1.8
"Non-
SMK",35,31.2,2.0
SMK,0,0,0
SMK,7,2.8,0.7
SMK,14,3.9,1.2
SMK,21,4.4,1.7
SMK,28,17.8,1.8
SMK,35,28.2,2.0
"Non-
SMK
+abx",0,0,0
"Non-
SMK
+abx",7,9.8,0.7
"Non-
SMK
+abx",14,18.7,1.2
"Non-
SMK
+abx",21,22.8,1.7
"Non-
SMK
+abx",28,32.4,1.8
"Non-
SMK
+abx",35,38.7,2.0
"SMK
+abx",0,0,0
"SMK
+abx",7,1.7,0.7
"SMK
+abx",14,2.8,1.2
"SMK
+abx",21,2.5,1.7
"SMK
+abx",28,12.4,1.8
"SMK
+abx",35,19.3,2.0
