phase,group,value
Exposure,"Non-
SMK",260.8027
Exposure,"Non-
SMK",173.563
Exposure,"Non-
SMK",162.1502
Exposure,"Non-
SMK",191.719
Exposure,"Non-
SMK",146.5049
Exposure,"Non-
SMK",103.2661
Exposure,"Non-
SMK",279.5869
Exposure,"Non-
SMK",109.0862
Exposure,"Non-
SMK",96.0809
Exposure,"Non-
SMK",123.5685
Exposure,"Non-
SMK",222.9203
Exposure,"Non-
SMK",209.8098
Exposure,"Non-
SMK",268.0284
Exposure,"Non-
SMK",324.545
Exposure,"Non-
SMK",226.9742
Exposure,"Non-
SMK",373.2411
Exposure,"Non-
SMK",332.0382
Exposure,"Non-
SMK",-26.3058
Exposure,"Non-
SMK",263.3418
Exposure,"Non-
SMK",171.0337
Exposure,"Non-
SMK",387.8121
Exposure,"Non-
SMK",190.8209
Exposure,"Non-
SMK",210.5765
Exposure,"Non-
SMK",229.5556
Exposure,"Non-
SMK",104.086
Exposure,"Non-
SMK",216.4452
Exposure,"Non-
SMK",198.3984
Exposure,"Non-
SMK",275.6326
Exposure,"Non-
SMK",248.2301
Exposure,"Non-
SMK",211.0132
Exposure,"Non-
SMK",166.3947
Exposure,"Non-
SMK",134.271
Exposure,"Non-
SMK",335.2497
Exposure,"Non-
SMK",299.024
Exposure,"Non-
SMK",264.4866
Exposure,"Non-
SMK",276.4052
Exposure,"Non-
SMK",233.0878
Exposure,"Non-
SMK",71.0184
Exposure,"Non-
SMK",217.7866
Exposure,"Non-
SMK",149.2892
Exposure,"Non-
SMK",-20.0675
Exposure,"Non-
SMK",17.7924
Exposure,"Non-
SMK",235.5637
Exposure,"Non-
SMK",204.2311
Exposure,"Non-
SMK",208.1915
Exposure,"Non-
SMK",236.909
Exposure,"Non-
SMK",71.1586
Exposure,"Non-
SMK",355.7711
Exposure,"Non-
SMK",247.2418
Exposure,"Non-
SMK",121.197
Exposure,SMK,-56.4273
Exposure,SMK,119.3326
Exposure,SMK,164.2136
Exposure,SMK,166.5626
Exposure,SMK,-74.6563
Exposure,SMK,14.5099
Exposure,SMK,39.0619
Exposure,SMK,-18.2339
Exposure,SMK,145.2857
Exposure,SMK,253.4848
Exposure,SMK,84.4741
Exposure,SMK,24.307
Exposure,SMK,172.2411
Exposure,SMK,150.956
Exposure,SMK,15.0922
Exposure,SMK,-5.6223
Exposure,SMK,15.173
Exposure,SMK,-11.9157
Exposure,SMK,-107.086
Exposure,SMK,-38.852
Exposure,SMK,55.9308
Exposure,SMK,25.9359
Exposure,SMK,69.1691
Exposure,SMK,90.0509
Exposure,SMK,92.6806
Exposure,SMK,-62.5331
Exposure,SMK,132.4545
Exposure,SMK,-17.4994
Exposure,SMK,-68.8235
Exposure,SMK,-27.2103
Exposure,SMK,-52.2046
Exposure,SMK,28.3964
Exposure,SMK,-116.2156
Exposure,SMK,34.3145
Exposure,SMK,60.12
Exposure,SMK,306.9898
Exposure,SMK,15.0204
Exposure,SMK,-44.9163
Exposure,SMK,23.4103
Exposure,SMK,8.5071
Exposure,SMK,47.6683
Exposure,SMK,2.1655
Exposure,SMK,108.2334
Exposure,SMK,90.7427
Exposure,SMK,21.5482
Exposure,SMK,-71.9095
Exposure,SMK,145.4176
Exposure,SMK,200.2042
Exposure,SMK,115.6468
Exposure,SMK,13.3229
Exposure,"Non-
SMK
+abx",343.9103
Exposure,"Non-
SMK
+abx",234.8993
Exposure,"Non-
SMK
+abx",175.6701
Exposure,"Non-
SMK
+abx",250.2631
Exposure,"Non-
SMK
+abx",144.5165
Exposure,"Non-
SMK
+abx",104.9892
Exposure,"Non-
SMK
+abx",264.1855
Exposure,"Non-
SMK
+abx",198.8977
Exposure,"Non-
SMK
+abx",143.4347
Exposure,"Non-
SMK
+abx",218.3606
Exposure,"Non-
SMK
+abx",207.9364
Exposure,"Non-
SMK
+abx",185.4017
Exposure,"Non-
SMK
+abx",241.4879
Exposure,"Non-
SMK
+abx",322.8974
Exposure,"Non-
SMK
+abx",403.5266
Exposure,"Non-
SMK
+abx",279.0907
Exposure,"Non-
SMK
+abx",319.3033
Exposure,"Non-
SMK
+abx",413.8253
Exposure,"Non-
SMK
+abx",209.0661
Exposure,"Non-
SMK
+abx",276.2617
Exposure,"Non-
SMK
+abx",220.2617
Exposure,"Non-
SMK
+abx",196.1868
Exposure,"Non-
SMK
+abx",102.4783
Exposure,"Non-
SMK
+abx",144.6445
Exposure,"Non-
SMK
+abx",125.1228
Exposure,"Non-
SMK
+abx",407.4293
Exposure,"Non-
SMK
+abx",434.9873
Exposure,"Non-
SMK
+abx",256.4257
Exposure,"Non-
SMK
+abx",234.3493
Exposure,"Non-
SMK
+abx",285.8389
Exposure,"Non-
SMK
+abx",400.3586
Exposure,"Non-
SMK
+abx",330.4427
Exposure,"Non-
SMK
+abx",192.2794
Exposure,"Non-
SMK
+abx",270.1202
Exposure,"Non-
SMK
+abx",153.1008
Exposure,"Non-
SMK
+abx",123.9784
Exposure,"Non-
SMK
+abx",251.4105
Exposure,"Non-
SMK
+abx",266.5237
Exposure,"Non-
SMK
+abx",21.6866
Exposure,"Non-
SMK
+abx",367.845
Exposure,"Non-
SMK
+abx",138.7585
Exposure,"Non-
SMK
+abx",367.3546
Exposure,"Non-
SMK
+abx",182.623
Exposure,"Non-
SMK
+abx",218.0683
Exposure,"Non-
SMK
+abx",336.3631
Exposure,"Non-
SMK
+abx",252.3717
Exposure,"Non-
SMK
+abx",206.6538
Exposure,"Non-
SMK
+abx",158.9219
Exposure,"Non-
SMK
+abx",358.7077
Exposure,"Non-
SMK
+abx",175.6313
Exposure,"SMK
+abx",-28.322
Exposure,"SMK
+abx",208.0163
Exposure,"SMK
+abx",-191.659
Exposure,"SMK
+abx",-179.7563
Exposure,"SMK
+abx",116.2591
Exposure,"SMK
+abx",-112.7541
Exposure,"SMK
+abx",-17.3353
Exposure,"SMK
+abx",-66.2026
Exposure,"SMK
+abx",121.2631
Exposure,"SMK
+abx",13.4077
Exposure,"SMK
+abx",71.1716
