group,value,jitter
subtilis,16.6301,0.4465
subtilis,15.1716,0.0156
subtilis,5.0464,0.259
subtilis,14.3845,0.0271
subtilis,10.3767,-0.1061
subtilis,15.586,0.473
subtilis,16.8871,0.2987
subtilis,13.2233,-0.3868
subtilis,10.1451,-0.1375
subtilis,8.9035,-0.1148
subtilis,22.9914,0.3164
subtilis,11.2399,-0.0041
subtilis,11.9176,-0.057
subtilis,16.3047,0.0068
subtilis,18.9775,0.1417
subtilis,18.984,-0.3805
subtilis,16.2475,0.2671
subtilis,13.178,-0.1896
subtilis,17.9418,0.4061
subtilis,17.8123,0.4164
subtilis,17.2155,0.3446
subtilis,15.7819,-0.4132
subtilis,12.7534,-0.2854
subtilis,13.6648,0.4926
subtilis,11.2257,-0.0772
subtilis,18.9669,-0.1037
subtilis,15.3414,0.42
subtilis,15.6307,0.1153
subtilis,8.7943,-0.0622
subtilis,17.0501,-0.3638
subtilis,7.5707,0.3247
subtilis,7.1294,0.3227
subtilis,17.3012,-0.3452
subtilis,11.9946,-0.319
subtilis,17.0794,0.4583
subtilis,11.1821,0.4761
subtilis,16.3029,-0.2819
subtilis,5.7959,-0.3806
subtilis,12.1159,0.4392
subtilis,20.7533,0.2524
subtilis,9.7696,-0.3493
subtilis,14.1733,0.2317
subtilis,14.5131,-0.0938
subtilis,13.9261,0.1649
subtilis,14.9752,-0.1802
subtilis,22.2351,0.2838
subtilis,25.5223,0.2699
subtilis,19.7926,0.3863
subtilis,7.8714,-0.0486
subtilis,9.5559,-0.1491
subtilis,13.7701,-0.286
subtilis,17.9658,-0.16
subtilis,12.2421,-0.1046
subtilis,13.1685,-0.219
subtilis,16.5548,0.2896
subtilis,9.7938,0.2574
subtilis,12.4816,-0.1486
subtilis,8.8601,-0.2966
subtilis,11.752,0.4227
subtilis,13.8297,-0.2984
subtilis,19.5364,-0.2679
subtilis,14.1969,-0.0083
subtilis,25.8145,0.4376
subtilis,13.8649,0.4151
subtilis,8.6523,-0.1072
subtilis,8.7907,0.0224
subtilis,6.6943,-0.1922
subtilis,10.2894,-0.2605
subtilis,13.7364,-0.0962
subtilis,6.0759,-0.3263
subtilis,14.2319,0.3804
subtilis,6.8029,0.1473
subtilis,13.2741,0.109
subtilis,8.5814,-0.1231
subtilis,11.4961,0.2025
subtilis,10.8165,0.3721
subtilis,13.1935,0.086
subtilis,11.5599,-0.4099
subtilis,17.9731,-0.1039
subtilis,11.3157,0.3298
subtilis,14.9024,-0.0209
subtilis,28.1675,0.1203
subtilis,19.0297,0.104
subtilis,18.3345,-0.1242
subtilis,18.4271,-0.1375
subtilis,11.5807,0.2088
subtilis,15.9095,-0.0451
subtilis,18.1429,-0.0563
subtilis,15.295,0.4767
subtilis,16.7352,-0.4369
subtilis,12.8005,0.0444
subtilis,11.3006,0.3034
subtilis,8.4661,0.0517
subtilis,11.1741,-0.1665
subtilis,17.5208,-0.2145
subtilis,22.1489,-0.1849
subtilis,18.0393,0.0298
subtilis,17.0564,-0.4866
subtilis,14.5464,-0.2577
subtilis,8.2171,0.329
subtilis,10.7374,0.4878
subtilis,9.3099,-0.041
subtilis,16.0918,-0.298
subtilis,16.8495,-0.1214
subtilis,17.3986,-0.1846
subtilis,13.5048,0.3215
subtilis,9.5869,-0.0619
subtilis,20.9119,0.3136
subtilis,14.8774,0.1339
subtilis,4.527,0.4272
subtilis,16.2064,-0.1118
subtilis,16.0919,0.3329
subtilis,21.2428,0.2817
subtilis,11.692,-0.1561
subtilis,19.0924,0.4329
subtilis,11.7593,-0.0086
subtilis,15.0786,-0.2137
subtilis,17.3139,0.3254
subtilis,7.5058,-0.1036
subtilis,14.0552,0.2357
subtilis,7.4637,0.2479
subtilis,9.321,0.0953
subtilis,15.1234,0.007
subtilis,10.3578,-0.4044
subtilis,10.7349,-0.2143
subtilis,20.9288,0.3765
subtilis,13.9422,0.1428
subtilis,19.2242,-0.0242
subtilis,9.1497,-0.069
subtilis,15.0205,0.2498
subtilis,15.458,0.0622
subtilis,10.4132,0.3894
subtilis,17.2879,-0.2539
subtilis,12.7012,0.2412
subtilis,18.9726,-0.159
subtilis,18.5178,-0.4646
subtilis,16.3148,-0.3878
subtilis,21.2283,-0.2884
subtilis,13.3449,-0.2762
subtilis,8.0622,-0.0226
subtilis,10.3198,-0.3478
subtilis,9.052,0.2423
subtilis,8.8508,-0.2295
subtilis,20.7981,-0.341
subtilis,11.0452,0.2826
subtilis,11.0199,0.2698
subtilis,10.7018,-0.2038
subtilis,20.7874,0.4348
subtilis,10.9443,0.0623
subtilis,7.2784,-0.1139
