category,indigo,indigo_error,daptomycin,dap_error
$Srdi^{-}$,0.72,0.1,115,10
$Srdi^{idt1}$,1.47,0.18,145,6
$Srdi^{idt2}$,1.03,0.18,138,6
$Srdi^{idt3}$,1.6,0.1,153,6
$Srdi^{idt4}$,1.75,0.18,159,10
$Srdi^{idt5}$,1.23,0.18,137,6
$Srdi^{idt6}$,1.23,0.1,138,6
$Srdi^{idt7}$,1.42,0.18,142,6
$Srdi^{idt8}$,1.28,0.18,138,10
$Srdi^{idt9}$,1.5,0.1,145,6
$Srdi^{idt10}$,1.39,0.18,141,6
$Srdi^{idt11}$,0.95,0.18,134,6
$Srdi^{idt12}$,0.95,0.1,134,10
$Srdi^{idt13}$,1.2,0.18,135,6
$Srdi^{idt14}$,1.36,0.18,141,6
$Srdi^{idt15}$,1.72,0.1,154,6
$Srdi^{idt16}$,1.56,0.18,148,10
