node,order,phylum,type,presence,fraction,bsh
n3,0,Other,MAG,0,0.0024,1
n5,1,Other,MAG,1,0.0872,1
n6,2,Other,MAG,1,0.1647,0
n10,3,Other,WGS,0,0.0226,1
n11,4,Other,WGS,1,0.1149,1
n12,5,Other,WGS,1,0.087,1
n14,6,Other,WGS,0,0.1336,0
n15,7,Other,MAG,1,0.2304,0
n20,8,Other,MAG,1,0.3079,0
n21,9,Other,SAG,0,0.021,0
n24,10,Other,MAG,1,0.0555,1
n25,11,Other,MAG,1,0.0177,1
n27,12,Other,WGS,1,0.1412,0
n28,13,Other,WGS,0,0.1043,1
n32,14,Other,WGS,0,0.0671,1
n33,15,Other,WGS,0,0.0027,1
n35,16,Other,MAG,0,0.0354,0
n36,17,Other,WGS,0,0.0173,1
n38,18,Other,WGS,1,0.0013,0
n39,19,Other,SAG,2,0.0011,1
n43,20,Other,WGS,1,0.1537,0
n44,21,Other,WGS,2,0.0659,1
n46,22,Other,MAG,1,0.0131,0
n47,23,Other,WGS,2,0.1337,0
n49,24,Other,MAG,2,0.0687,1
n50,25,Other,SAG,0,0.0502,1
n57,26,Proteobacteria (N=2474),MAG,2,0.0257,0
n58,27,Proteobacteria (N=2474),MAG,0,0.2315,1
n60,28,Proteobacteria (N=2474),WGS,1,0.0151,0
n63,29,Proteobacteria (N=2474),WGS,1,0.0017,0
n64,30,Proteobacteria (N=2474),MAG,1,0.0029,1
n66,31,Proteobacteria (N=2474),MAG,1,0.1077,0
n67,32,Proteobacteria (N=2474),WGS,1,0.3105,1
n71,33,Proteobacteria (N=2474),WGS,0,0.0035,0
n74,34,Proteobacteria (N=2474),MAG,0,0.0282,1
n75,35,Proteobacteria (N=2474),WGS,1,0.0042,0
n76,36,Proteobacteria (N=2474),MAG,0,0.0037,1
n78,37,Proteobacteria (N=2474),WGS,0,0.084,0
n79,38,Proteobacteria (N=2474),WGS,1,0.1091,1
n82,39,Proteobacteria (N=2474),WGS,0,0.0325,0
n85,40,Proteobacteria (N=2474),WGS,1,0.0661,1
n86,41,Proteobacteria (N=2474),MAG,1,0.0011,1
n87,42,Proteobacteria (N=2474),MAG,2,0.0159,1
n90,43,Proteobacteria (N=2474),WGS,2,0.0324,0
n91,44,Proteobacteria (N=2474),MAG,1,0.1546,0
n92,45,Proteobacteria (N=2474),MAG,0,0.0602,0
n96,46,Proteobacteria (N=2474),WGS,0,0.0065,1
n98,47,Proteobacteria (N=2474),WGS,0,0.296,1
n100,48,Proteobacteria (N=2474),WGS,1,0.0096,1
n101,49,Proteobacteria (N=2474),MAG,1,0.0742,1
n104,50,Proteobacteria (N=2474),WGS,1,0.0399,0
n107,51,Proteobacteria (N=2474),MAG,0,0.009,0
n108,52,Proteobacteria (N=2474),WGS,0,0.0615,1
n109,53,Proteobacteria (N=2474),WGS,1,0.0066,0
n113,54,Proteobacteria (N=2474),MAG,1,0.059,1
n114,55,Proteobacteria (N=2474),WGS,0,0.0676,1
n116,56,Proteobacteria (N=2474),MAG,1,0.0503,1
n117,57,Proteobacteria (N=2474),WGS,0,0.2562,1
n119,58,Proteobacteria (N=2474),WGS,2,0.0234,0
n120,59,Proteobacteria (N=2474),WGS,2,0.0412,1
n125,60,Proteobacteria (N=2474),WGS,2,0.0289,1
n127,61,Proteobacteria (N=2474),MAG,1,0.1051,0
