node,parent,length,phylum
n0,root,0.11828764720890793,Fusobacteria
n1,n0,0.17776591392450247,Fusobacteria
n2,n1,0.11949988156136905,Fusobacteria
n3,n1,0.10059313662645555,Fusobacteria
n4,n3,0.122679078899456,Fusobacteria
n5,n3,0.11502387953558546,Fusobacteria
n6,n0,0.13807780149175597,Fusobacteria
n7,n6,0.17135442209136376,Fusobacteria
n8,n7,0.15749471353181238,Fusobacteria
n9,n7,0.17877372167128117,Fusobacteria
n10,n6,0.11486864919372103,Fusobacteria
n11,n10,0.1167707635623713,Fusobacteria
n12,n10,0.13075776870065023,Fusobacteria
n13,n12,0.17575559043501746,Fusobacteria
n14,n12,0.1162397765706617,Fusobacteria
n15,n14,0.1332828947511615,Fusobacteria
n16,n14,0.17560927538025492,Fusobacteria
n17,root,0.10209305269577354,Proteobacteria
n18,n17,0.083929789551646,Proteobacteria
n19,n18,0.16430604188299835,Proteobacteria
n20,n19,0.11787225457207746,Proteobacteria
n21,n19,0.09237681580070235,Proteobacteria
n22,n18,0.08131817861804165,Proteobacteria
n23,n22,0.13801949140125302,Proteobacteria
n24,n22,0.15547937262009812,Proteobacteria
n25,n17,0.16877218027271323,Proteobacteria
n26,n25,0.1576893654518444,Proteobacteria
n27,n26,0.10309495959147978,Proteobacteria
n28,n26,0.16493106657906165,Proteobacteria
n29,n28,0.13790436119934754,Proteobacteria
n30,n28,0.08873870121789502,Proteobacteria
n31,n25,0.1336955312292554,Proteobacteria
n32,n31,0.17978786665833354,Proteobacteria
n33,n32,0.15912364455676828,Proteobacteria
n34,n32,0.13433779223790385,Proteobacteria
n35,n34,0.1370588008396098,Proteobacteria
n36,n34,0.15871583782709148,Proteobacteria
n37,n36,0.1782387109305295,Proteobacteria
n38,n36,0.17923558403800613,Proteobacteria
n39,n31,0.16536344633477862,Proteobacteria
n40,n39,0.12310265500146494,Proteobacteria
n41,n39,0.13206866567971784,Proteobacteria
n42,root,0.11643741590437112,Spirochaetes
n43,n42,0.11378120161350316,Spirochaetes
n44,n43,0.14648805299877693,Spirochaetes
n45,n44,0.14386065062698428,Spirochaetes
n46,n44,0.09122151513717267,Spirochaetes
n47,n46,0.11107740720290692,Spirochaetes
n48,n46,0.08027837353648488,Spirochaetes
n49,n43,0.10871521318068961,Spirochaetes
n50,n49,0.15480012848332703,Spirochaetes
n51,n49,0.12716606766296099,Spirochaetes
n52,n42,0.1059729585456792,Spirochaetes
n53,n52,0.12899878908275236,Spirochaetes
n54,n53,0.13386511872726878,Spirochaetes
n55,n54,0.17296723129643837,Spirochaetes
n56,n54,0.10851112695747367,Spirochaetes
n57,n53,0.104159742477704,Spirochaetes
n58,n57,0.17658762095084904,Spirochaetes
n59,n57,0.08218023317220587,Spirochaetes
n60,n52,0.09404039793429392,Spirochaetes
n61,n60,0.15409291692437854,Spirochaetes
n62,n60,0.11210626263276276,Spirochaetes
n63,n62,0.1615959933386779,Spirochaetes
n64,n63,0.11509258804087025,Spirochaetes
n65,n63,0.1792340448295172,Spirochaetes
n66,n62,0.1793450207795362,Spirochaetes
n67,root,0.14424649134950357,Bacteroidetes
n68,n67,0.1113199516668921,Bacteroidetes
n69,n68,0.08669681319343797,Bacteroidetes
n70,n69,0.08697990098065758,Bacteroidetes
n71,n70,0.10789462133545491,Bacteroidetes
n72,n70,0.17849901688383066,Bacteroidetes
n73,n69,0.17324222265353237,Bacteroidetes
n74,n73,0.15101302421814775,Bacteroidetes
n75,n74,0.17407645132931968,Bacteroidetes
n76,n74,0.08181479695834384,Bacteroidetes
n77,n73,0.13902058300845027,Bacteroidetes
n78,n68,0.11331849639654852,Bacteroidetes
n79,n78,0.09915528925132945,Bacteroidetes
n80,n79,0.17516843066243187,Bacteroidetes
n81,n80,0.17985508341007686,Bacteroidetes
n82,n80,0.1510119119438858,Bacteroidetes
n83,n79,0.14005884085809645,Bacteroidetes
n84,n78,0.11488706644717105,Bacteroidetes
n85,n84,0.13459957713058784,Bacteroidetes
n86,n85,0.14060263279153126,Bacteroidetes
n87,n85,0.1227705908756663,Bacteroidetes
n88,n84,0.0933362840656873,Bacteroidetes
n89,n88,0.1415689674234026,Bacteroidetes
n90,n89,0.1202510662586925,Bacteroidetes
n91,n90,0.1662034612283838,Bacteroidetes
n92,n90,0.1735680319416028,Bacteroidetes
n93,n89,0.11420217538171552,Bacteroidetes
n94,n88,0.14651170393759733,Bacteroidetes
n95,n94,0.12093983362674471,Bacteroidetes
n96,n94,0.15367560065814037,Bacteroidetes
n97,n96,0.1648684632708987,Bacteroidetes
n98,n96,0.1449055589204894,Bacteroidetes
n99,n67,0.1215808961005731,Bacteroidetes
n100,n99,0.08178822130299743,Bacteroidetes
n101,n100,0.08623902759811716,Bacteroidetes
n102,n101,0.14242124866846706,Bacteroidetes
n103,n101,0.13701708686390227,Bacteroidetes
n104,n103,0.15397598007957752,Bacteroidetes
n105,n103,0.12461856348398699,Bacteroidetes
n106,n100,0.0871468349201082,Bacteroidetes
n107,n106,0.13347296414018162,Bacteroidetes
n108,n106,0.1260636633057539,Bacteroidetes
n109,n99,0.1608414537600079,Bacteroidetes
n110,n109,0.17752012243416776,Bacteroidetes
n111,n110,0.08076192809909857,Bacteroidetes
n112,n110,0.1773764268489125,Bacteroidetes
n113,n109,0.1183507449903054,Bacteroidetes
n114,root,0.15988451484359362,Firmicutes
n115,n114,0.1379718381869462,Firmicutes
n116,n115,0.14424496294596137,Firmicutes
n117,n115,0.13859650923632025,Firmicutes
n118,n117,0.1708737852296586,Firmicutes
n119,n118,0.15756273549381028,Firmicutes
n120,n118,0.10405860832151474,Firmicutes
n121,n117,0.08082456921443545,Firmicutes
n122,n121,0.1635419772287181,Firmicutes
n123,n121,0.08195002618596015,Firmicutes
n124,n114,0.08657201447901515,Firmicutes
n125,n124,0.16917706444604763,Firmicutes
n126,n125,0.1773711403772001,Firmicutes
n127,n126,0.11771924442713816,Firmicutes
n128,n126,0.16312096552771727,Firmicutes
n129,n125,0.08389448330399803,Firmicutes
n130,n129,0.17820131689145244,Firmicutes
n131,n130,0.11395902781105727,Firmicutes
n132,n130,0.08455296278009279,Firmicutes
n133,n129,0.10971845652730716,Firmicutes
n134,n124,0.1404118593814897,Firmicutes
n135,n134,0.17414172768759156,Firmicutes
n136,n135,0.12106078492082893,Firmicutes
n137,n135,0.12184348072656034,Firmicutes
n138,n134,0.10196094998265048,Firmicutes
n139,n138,0.1150508497046168,Firmicutes
n140,n139,0.17921121505038942,Firmicutes
n141,n139,0.10756729883471564,Firmicutes
n142,n138,0.17778130493806846,Firmicutes
n143,root,0.12182446498582251,Firmicutes
n144,n143,0.10311712204275315,Firmicutes
n145,n144,0.14850994159312594,Firmicutes
n146,n145,0.1658969965393585,Firmicutes
n147,n145,0.10802253686793734,Firmicutes
n148,n147,0.16055847628005576,Firmicutes
n149,n147,0.14081024156314093,Firmicutes
n150,n149,0.08058232765605328,Firmicutes
n151,n149,0.12495983529355406,Firmicutes
n152,n144,0.16249897338168512,Firmicutes
n153,n152,0.17641167654559067,Firmicutes
n154,n153,0.14739155766738393,Firmicutes
n155,n154,0.14055537715067512,Firmicutes
n156,n155,0.12356974642068425,Firmicutes
n157,n155,0.17656303256345146,Firmicutes
n158,n154,0.11482567264861039,Firmicutes
n159,n158,0.1468396641617541,Firmicutes
n160,n158,0.1718562762946144,Firmicutes
n161,n153,0.1770603169450402,Firmicutes
n162,n161,0.15396385336350887,Firmicutes
n163,n161,0.15855468382835647,Firmicutes
n164,n152,0.14662187827994083,Firmicutes
n165,n164,0.1538551098125679,Firmicutes
n166,n165,0.16222975989202626,Firmicutes
n167,n165,0.12880195180114248,Firmicutes
n168,n164,0.1380337686722001,Firmicutes
n169,n143,0.12600407667871136,Firmicutes
n170,n169,0.14373325302638054,Firmicutes
n171,n170,0.10326829658908375,Firmicutes
n172,n171,0.14954134977261743,Firmicutes
n173,n172,0.08074997664621665,Firmicutes
n174,n172,0.15573357357401352,Firmicutes
n175,n174,0.13998429458803976,Firmicutes
n176,n174,0.11757255592654398,Firmicutes
n177,n176,0.09751436393327256,Firmicutes
n178,n176,0.16312190512483615,Firmicutes
n179,n171,0.0969687388422839,Firmicutes
n180,n179,0.1489952288619936,Firmicutes
n181,n179,0.1356264548746347,Firmicutes
n182,n181,0.128806020771372,Firmicutes
n183,n181,0.16075725439004424,Firmicutes
n184,n170,0.12553562401442808,Firmicutes
n185,n184,0.0975329237681731,Firmicutes
n186,n185,0.09104240477172466,Firmicutes
n187,n185,0.1609414037354865,Firmicutes
n188,n184,0.15062288781831834,Firmicutes
n189,n188,0.10604534466024451,Firmicutes
n190,n189,0.17686059001629337,Firmicutes
n191,n189,0.11718205911921152,Firmicutes
n192,n191,0.0854779198979921,Firmicutes
n193,n191,0.13720642355163248,Firmicutes
n194,n188,0.09441170940880812,Firmicutes
n195,n194,0.09648454896768037,Firmicutes
n196,n194,0.10677485310462365,Firmicutes
n197,n169,0.17833557731266353,Firmicutes
n198,n197,0.1584018336198567,Firmicutes
n199,n198,0.17170961195876022,Firmicutes
n200,n199,0.10719546184366713,Firmicutes
n201,n200,0.1698232765942153,Firmicutes
n202,n200,0.13510334545324115,Firmicutes
n203,n199,0.17712096529252438,Firmicutes
n204,n203,0.10224903086889647,Firmicutes
n205,n203,0.09587042780586547,Firmicutes
n206,n198,0.1577289494200626,Firmicutes
n207,n206,0.14448641097857567,Firmicutes
n208,n206,0.1215258034798468,Firmicutes
n209,n208,0.09037767300144574,Firmicutes
n210,n208,0.08987249483208941,Firmicutes
n211,n210,0.08974396223939356,Firmicutes
n212,n210,0.09628074450746527,Firmicutes
n213,n197,0.11406064337885964,Firmicutes
n214,n213,0.15269127479267877,Firmicutes
n215,n214,0.16675311626795367,Firmicutes
n216,n215,0.09994500059810864,Firmicutes
n217,n215,0.12555050535132914,Firmicutes
n218,n214,0.15977726026881897,Firmicutes
n219,n213,0.12751863748372386,Firmicutes
n220,n219,0.09666851140822018,Firmicutes
n221,n219,0.11385254059473965,Firmicutes
n222,root,0.098709617009782,Actinobacteria
n223,n222,0.10739580473031939,Actinobacteria
n224,n223,0.13658323308410988,Actinobacteria
n225,n224,0.09871590367706443,Actinobacteria
n226,n224,0.09872247133555113,Actinobacteria
n227,n223,0.12102355212035926,Actinobacteria
n228,n222,0.14540469302843137,Actinobacteria
n229,n228,0.16029870704328128,Actinobacteria
n230,n228,0.14444759894131304,Actinobacteria
n231,n230,0.1150048162848085,Actinobacteria
n232,n230,0.13081842789552414,Actinobacteria
n233,root,0.09012154076780338,Actinobacteria
n234,n233,0.15615609360458624,Actinobacteria
n235,n234,0.1622845458443747,Actinobacteria
n236,n235,0.08301646963148733,Actinobacteria
n237,n236,0.171761973532455,Actinobacteria
n238,n236,0.15844471013381273,Actinobacteria
n239,n235,0.12043422800289186,Actinobacteria
n240,n234,0.10362717685460576,Actinobacteria
n241,n240,0.10797396090804585,Actinobacteria
n242,n240,0.140882626042645,Actinobacteria
n243,n233,0.1116618179304527,Actinobacteria
n244,n243,0.12360083033459318,Actinobacteria
n245,n244,0.14281176823871242,Actinobacteria
n246,n244,0.11091769117349663,Actinobacteria
n247,n243,0.14931459043821246,Actinobacteria
n248,n247,0.11728609202550239,Actinobacteria
n249,n248,0.08202375785861588,Actinobacteria
n250,n248,0.14671281671613456,Actinobacteria
n251,n247,0.11503590745970524,Actinobacteria
n252,n251,0.15285536540110656,Actinobacteria
n253,n251,0.13707344182987188,Actinobacteria
n254,n253,0.0911815281992,Actinobacteria
n255,n254,0.15123471029648342,Actinobacteria
n256,n254,0.09973964640985383,Actinobacteria
n257,n253,0.12537869140110083,Actinobacteria
