section,gene,cell_type,expression,percent
Early,CRISPLD2,Activated fibroblast,0.0,30.25
Early,CRISPLD2,Fibroblast,0.67,56.25
Early,CRISPLD2,Cardiomyocyte,0.0,6.25
Early,CRISPLD2,Endothelial,0.0,2.25
Early,CRISPLD2,Pericyte,0.486,49.0
Early,CRISPLD2,Macrophage,0.0,12.25
Early,CRISPLD2,VSMC,0.486,49.0
Early,CRISPLD2,Lymphocyte,0.0,4.0
Early,CRISPLD2,Endocardial,0.0,12.25
Early,CRISPLD2,Adipocyte,0.0,20.25
Early,CRISPLD2,Neuronal,0.0,20.25
Early,CRISPLD2,Lymphatic endothelial,0.0,12.25
Early,CRISPLD2,Mast cell,0.0,12.25
Early,CRISPLD2,Epicardial,0.0,36.0
Early,COL4A4,Activated fibroblast,0.0,25.0
Early,COL4A4,Fibroblast,1.256,81.0
Early,COL4A4,Cardiomyocyte,0.0,9.0
Early,COL4A4,Endothelial,0.0,12.25
Early,COL4A4,Pericyte,0.0,16.0
Early,COL4A4,Macrophage,0.0,4.0
Early,COL4A4,VSMC,0.0,9.0
Early,COL4A4,Lymphocyte,0.0,4.0
Early,COL4A4,Endocardial,0.0,30.25
Early,COL4A4,Adipocyte,0.0,30.25
Early,COL4A4,Neuronal,0.0,12.25
Early,COL4A4,Lymphatic endothelial,0.0,12.25
Early,COL4A4,Mast cell,0.0,6.25
Early,COL4A4,Epicardial,0.0,20.25
Early,FBLN5,Activated fibroblast,0.0,25.0
Early,FBLN5,Fibroblast,0.62,56.25
Early,FBLN5,Cardiomyocyte,0.0,6.25
Early,FBLN5,Endothelial,0.0,12.25
Early,FBLN5,Pericyte,0.0,4.0
Early,FBLN5,Macrophage,0.0,4.0
Early,FBLN5,VSMC,0.0,9.0
Early,FBLN5,Lymphocyte,0.0,4.0
Early,FBLN5,Endocardial,0.0,12.25
Early,FBLN5,Adipocyte,0.0,30.25
Early,FBLN5,Neuronal,0.0,30.25
Early,FBLN5,Lymphatic endothelial,0.0,12.25
Early,FBLN5,Mast cell,0.0,6.25
Early,FBLN5,Epicardial,0.0,20.25
Early,C7,Activated fibroblast,0.0,25.0
Early,C7,Fibroblast,1.675,90.25
Early,C7,Cardiomyocyte,0.0,9.0
Early,C7,Endothelial,0.0,6.25
Early,C7,Pericyte,0.0,20.25
Early,C7,Macrophage,0.0,4.0
Early,C7,VSMC,0.0,12.25
Early,C7,Lymphocyte,0.0,4.0
Early,C7,Endocardial,0.0,42.25
Early,C7,Adipocyte,0.787,72.25
Early,C7,Neuronal,0.77,30.25
Early,C7,Lymphatic endothelial,0.0,20.25
Early,C7,Mast cell,0.0,9.0
Early,C7,Epicardial,0.0,30.25
Early,NEGR1,Activated fibroblast,1.189,90.25
Early,NEGR1,Fibroblast,2.864,100.0
Early,NEGR1,Cardiomyocyte,0.0,12.25
Early,NEGR1,Endothelial,0.0,6.25
Early,NEGR1,Pericyte,0.0,4.0
Early,NEGR1,Macrophage,0.0,6.25
Early,NEGR1,VSMC,0.0,12.25
Early,NEGR1,Lymphocyte,0.0,4.0
Early,NEGR1,Endocardial,0.0,20.25
Early,NEGR1,Adipocyte,0.687,56.25
Early,NEGR1,Neuronal,3.048,100.0
Early,NEGR1,Lymphatic endothelial,0.0,20.25
Early,NEGR1,Mast cell,0.0,12.25
Early,NEGR1,Epicardial,0.0,42.25
Intermediate,PBX1,Activated fibroblast,1.758,100.0
Intermediate,PBX1,Fibroblast,1.909,100.0
Intermediate,PBX1,Cardiomyocyte,1.608,100.0
Intermediate,PBX1,Endothelial,0.0,30.25
Intermediate,PBX1,Pericyte,1.641,90.25
Intermediate,PBX1,Macrophage,0.0,4.0
Intermediate,PBX1,VSMC,1.239,72.25
Intermediate,PBX1,Lymphocyte,0.0,4.0
Intermediate,PBX1,Endocardial,1.876,100.0
Intermediate,PBX1,Adipocyte,2.043,100.0
Intermediate,PBX1,Neuronal,0.871,56.25
Intermediate,PBX1,Lymphatic endothelial,0.201,42.25
Intermediate,PBX1,Mast cell,0.0,30.25
Intermediate,PBX1,Epicardial,1.876,100.0
Intermediate,CLSTN2,Activated fibroblast,0.0,25.0
Intermediate,CLSTN2,Fibroblast,0.0,42.25
Intermediate,CLSTN2,Cardiomyocyte,0.0,30.25
Intermediate,CLSTN2,Endothelial,0.0,4.0
Intermediate,CLSTN2,Pericyte,0.0,16.0
Intermediate,CLSTN2,Macrophage,0.0,4.0
Intermediate,CLSTN2,VSMC,0.0,16.0
Intermediate,CLSTN2,Lymphocyte,0.0,4.0
Intermediate,CLSTN2,Endocardial,0.0,16.0
Intermediate,CLSTN2,Adipocyte,1.289,81.0
Intermediate,CLSTN2,Neuronal,0.0,20.25
Intermediate,CLSTN2,Lymphatic endothelial,0.0,12.25
Intermediate,CLSTN2,Mast cell,0.0,4.0
Intermediate,CLSTN2,Epicardial,0.0,16.0
Intermediate,RIMS1,Activated fibroblast,0.0,56.25
Intermediate,RIMS1,Fibroblast,0.0,12.25
Intermediate,RIMS1,Cardiomyocyte,0.0,6.25
Intermediate,RIMS1,Endothelial,0.0,6.25
Intermediate,RIMS1,Pericyte,0.469,42.25
Intermediate,RIMS1,Macrophage,0.0,2.25
Intermediate,RIMS1,VSMC,0.0,25.0
Intermediate,RIMS1,Lymphocyte,0.0,2.25
Intermediate,RIMS1,Endocardial,0.0,20.25
Intermediate,RIMS1,Adipocyte,0.0,16.0
Intermediate,RIMS1,Neuronal,0.0,9.0
Intermediate,RIMS1,Lymphatic endothelial,0.0,9.0
Intermediate,RIMS1,Mast cell,0.0,6.25
Intermediate,RIMS1,Epicardial,0.0,30.25
Intermediate,KCNMA1,Activated fibroblast,0.653,56.25
Intermediate,KCNMA1,Fibroblast,0.0,16.0
Intermediate,KCNMA1,Cardiomyocyte,0.0,16.0
Intermediate,KCNMA1,Endothelial,0.0,6.25
Intermediate,KCNMA1,Pericyte,0.0,6.25
Intermediate,KCNMA1,Macrophage,0.821,56.25
Intermediate,KCNMA1,VSMC,0.77,49.0
Intermediate,KCNMA1,Lymphocyte,0.0,6.25
Intermediate,KCNMA1,Endocardial,0.0,12.25
Intermediate,KCNMA1,Adipocyte,0.0,16.0
Intermediate,KCNMA1,Neuronal,0.352,49.0
