panel,group,x,density
0,0,2.05,0.0
0,0,2.05387,0.0
0,0,2.05774,0.0
0,0,2.06162,0.0
0,0,2.06549,0.0
0,0,2.06936,0.0
0,0,2.07323,0.0
0,0,2.0771,0.0
0,0,2.08097,0.0
0,0,2.08485,0.0
0,0,2.08872,0.0
0,0,2.09259,0.0
0,0,2.09646,0.0
0,0,2.10033,0.0
0,0,2.1042,0.0
0,0,2.10808,0.0
0,0,2.11195,0.0
0,0,2.11582,0.0
0,0,2.11969,0.0
0,0,2.12356,0.0
0,0,2.12743,0.0
0,0,2.13131,0.0
0,0,2.13518,0.0
0,0,2.13905,0.0
0,0,2.14292,0.0
0,0,2.14679,0.0
0,0,2.15066,0.0
0,0,2.15454,0.0
0,0,2.15841,0.0
0,0,2.16228,0.0
0,0,2.16615,0.0
0,0,2.17002,0.0
0,0,2.17389,0.0
0,0,2.17777,0.0
0,0,2.18164,0.0
0,0,2.18551,0.0
0,0,2.18938,0.0
0,0,2.19325,0.0
0,0,2.19712,0.0
0,0,2.201,0.0
0,0,2.20487,0.0
0,0,2.20874,0.0
0,0,2.21261,0.0
0,0,2.21648,0.0
0,0,2.22035,0.0
0,0,2.22423,0.0
0,0,2.2281,0.0
0,0,2.23197,0.0
0,0,2.23584,0.0
0,0,2.23971,0.0
0,0,2.24358,0.0
0,0,2.24746,0.0
0,0,2.25133,1e-05
0,0,2.2552,1e-05
0,0,2.25907,1e-05
0,0,2.26294,1e-05
0,0,2.26681,1e-05
0,0,2.27069,1e-05
0,0,2.27456,2e-05
0,0,2.27843,2e-05
0,0,2.2823,2e-05
0,0,2.28617,3e-05
0,0,2.29004,3e-05
0,0,2.29392,4e-05
0,0,2.29779,4e-05
0,0,2.30166,5e-05
0,0,2.30553,6e-05
0,0,2.3094,7e-05
0,0,2.31327,8e-05
0,0,2.31715,9e-05
0,0,2.32102,0.00011
0,0,2.32489,0.00013
0,0,2.32876,0.00015
0,0,2.33263,0.00017
0,0,2.3365,0.0002
0,0,2.34038,0.00023
0,0,2.34425,0.00027
0,0,2.34812,0.00031
0,0,2.35199,0.00036
0,0,2.35586,0.00041
0,0,2.35973,0.00047
0,0,2.36361,0.00054
0,0,2.36748,0.00062
0,0,2.37135,0.00072
0,0,2.37522,0.00082
0,0,2.37909,0.00094
0,0,2.38296,0.00108
0,0,2.38684,0.00123
0,0,2.39071,0.0014
0,0,2.39458,0.0016
0,0,2.39845,0.00182
0,0,2.40232,0.00206
0,0,2.40619,0.00234
0,0,2.41007,0.00265
0,0,2.41394,0.00301
0,0,2.41781,0.0034
0,0,2.42168,0.00384
0,0,2.42555,0.00433
0,0,2.42942,0.00488
0,0,2.4333,0.00549
0,0,2.43717,0.00617
0,0,2.44104,0.00692
0,0,2.44491,0.00776
0,0,2.44878,0.00869
0,0,2.45265,0.00972
0,0,2.45653,0.01085
0,0,2.4604,0.0121
0,0,2.46427,0.01348
0,0,2.46814,0.015
0,0,2.47201,0.01667
0,0,2.47588,0.01851
0,0,2.47976,0.02052
0,0,2.48363,0.02272
0,0,2.4875,0.02512
0,0,2.49137,0.02775
0,0,2.49524,0.03061
0,0,2.49912,0.03372
0,0,2.50299,0.03711
0,0,2.50686,0.04078
0,0,2.51073,0.04476
0,0,2.5146,0.04908
0,0,2.51847,0.05373
0,0,2.52235,0.05876
0,0,2.52622,0.06418
0,0,2.53009,0.07002
0,0,2.53396,0.07628
0,0,2.53783,0.08301
0,0,2.5417,0.09022
0,0,2.54558,0.09793
0,0,2.54945,0.10617
0,0,2.55332,0.11496
0,0,2.55719,0.12433
0,0,2.56106,0.13429
0,0,2.56493,0.14487
0,0,2.56881,0.15609
0,0,2.57268,0.16797
0,0,2.57655,0.18053
0,0,2.58042,0.19379
0,0,2.58429,0.20777
0,0,2.58816,0.22248
0,0,2.59204,0.23793
0,0,2.59591,0.25415
0,0,2.59978,0.27113
0,0,2.60365,0.28889
0,0,2.60752,0.30743
0,0,2.61139,0.32676
0,0,2.61527,0.34687
0,0,2.61914,0.36776
0,0,2.62301,0.38943
0,0,2.62688,0.41187
0,0,2.63075,0.43506
0,0,2.63462,0.45899
0,0,2.6385,0.48363
0,0,2.64237,0.50896
0,0,2.64624,0.53496
0,0,2.65011,0.56159
0,0,2.65398,0.58882
0,0,2.65785,0.6166
0,0,2.66173,0.64489
0,0,2.6656,0.67365
0,0,2.66947,0.70281
0,0,2.67334,0.73233
0,0,2.67721,0.76215
0,0,2.68108,0.7922
0,0,2.68496,0.82241
0,0,2.68883,0.85272
0,0,2.6927,0.88306
0,0,2.69657,0.91334
0,0,2.70044,0.94348
0,0,2.70431,0.97342
0,0,2.70819,1.00306
0,0,2.71206,1.03233
0,0,2.71593,1.06113
0,0,2.7198,1.08939
0,0,2.72367,1.11701
0,0,2.72754,1.14392
0,0,2.73142,1.17003
0,0,2.73529,1.19525
0,0,2.73916,1.2195
0,0,2.74303,1.2427
0,0,2.7469,1.26478
0,0,2.75077,1.28565
0,0,2.75465,1.30526
0,0,2.75852,1.32352
0,0,2.76239,1.34037
0,0,2.76626,1.35576
0,0,2.77013,1.36962
0,0,2.774,1.38192
0,0,2.77788,1.3926
0,0,2.78175,1.40162
0,0,2.78562,1.40896
0,0,2.78949,1.41458
0,0,2.79336,1.41847
0,0,2.79723,1.4206
0,0,2.80111,1.42098
0,0,2.80498,1.4196
0,0,2.80885,1.41646
0,0,2.81272,1.41158
0,0,2.81659,1.40498
0,0,2.82046,1.39667
0,0,2.82434,1.3867
0,0,2.82821,1.37509
0,0,2.83208,1.36189
0,0,2.83595,1.34715
0,0,2.83982,1.33091
0,0,2.84369,1.31325
0,0,2.84757,1.29421
0,0,2.85144,1.27388
0,0,2.85531,1.25231
0,0,2.85918,1.22958
0,0,2.86305,1.20576
0,0,2.86692,1.18095
0,0,2.8708,1.15521
0,0,2.87467,1.12864
0,0,2.87854,1.10131
0,0,2.88241,1.07331
0,0,2.88628,1.04473
0,0,2.89015,1.01566
0,0,2.89403,0.98616
0,0,2.8979,0.95634
0,0,2.90177,0.92628
0,0,2.90564,0.89604
0,0,2.90951,0.86573
0,0,2.91338,0.8354
0,0,2.91726,0.80513
0,0,2.92113,0.775
0,0,2.925,0.74508
0,0,2.92887,0.71542
0,0,2.93274,0.6861
0,0,2.93662,0.65716
0,0,2.94049,0.62866
0,0,2.94436,0.60066
0,0,2.94823,0.57319
0,0,2.9521,0.5463
0,0,2.95597,0.52002
0,0,2.95985,0.4944
0,0,2.96372,0.46946
0,0,2.96759,0.44522
0,0,2.97146,0.42172
0,0,2.97533,0.39896
0,0,2.9792,0.37696
0,0,2.98308,0.35573
0,0,2.98695,0.33528
0,0,2.99082,0.31562
0,0,2.99469,0.29674
0,0,2.99856,0.27865
0,0,3.00243,0.26133
0,0,3.00631,0.24479
0,0,3.01018,0.22901
0,0,3.01405,0.21398
0,0,3.01792,0.19969
0,0,3.02179,0.18613
0,0,3.02566,0.17327
0,0,3.02954,0.1611
0,0,3.03341,0.1496
0,0,3.03728,0.13875
0,0,3.04115,0.12852
0,0,3.04502,0.11891
0,0,3.04889,0.10987
0,0,3.05277,0.1014
0,0,3.05664,0.09346
0,0,3.06051,0.08604
0,0,3.06438,0.07911
0,0,3.06825,0.07265
0,0,3.07212,0.06663
0,0,3.076,0.06104
0,0,3.07987,0.05584
0,0,3.08374,0.05103
0,0,3.08761,0.04657
0,0,3.09148,0.04245
0,0,3.09535,0.03865
0,0,3.09923,0.03514
0,0,3.1031,0.03191
0,0,3.10697,0.02894
0,0,3.11084,0.02622
0,0,3.11471,0.02372
0,0,3.11858,0.02144
0,0,3.12246,0.01935
0,0,3.12633,0.01744
0,0,3.1302,0.0157
0,0,3.13407,0.01412
0,0,3.13794,0.01268
0,0,3.14181,0.01137
0,0,3.14569,0.01019
0,0,3.14956,0.00912
0,0,3.15343,0.00815
0,0,3.1573,0.00727
0,0,3.16117,0.00648
0,0,3.16504,0.00577
0,0,3.16892,0.00513
0,0,3.17279,0.00456
0,0,3.17666,0.00404
0,0,3.18053,0.00358
0,0,3.1844,0.00317
0,0,3.18827,0.0028
0,0,3.19215,0.00247
0,0,3.19602,0.00218
0,0,3.19989,0.00192
0,0,3.20376,0.00169
0,0,3.20763,0.00148
0,0,3.2115,0.0013
0,0,3.21538,0.00114
0,0,3.21925,0.001
0,0,3.22312,0.00087
0,0,3.22699,0.00076
