marker,group,condition,x,density
IFN-γ,ILC3,−,-0.8,0.0
IFN-γ,ILC3,−,-0.7689,0.0
IFN-γ,ILC3,−,-0.7379,0.0
IFN-γ,ILC3,−,-0.7068,0.0
IFN-γ,ILC3,−,-0.6758,0.0
IFN-γ,ILC3,−,-0.6447,0.0
IFN-γ,ILC3,−,-0.6137,0.0
IFN-γ,ILC3,−,-0.5826,0.0
IFN-γ,ILC3,−,-0.5516,0.0
IFN-γ,ILC3,−,-0.5205,0.0
IFN-γ,ILC3,−,-0.4895,0.0
IFN-γ,ILC3,−,-0.4584,0.0
IFN-γ,ILC3,−,-0.4274,0.0
IFN-γ,ILC3,−,-0.3963,0.0
IFN-γ,ILC3,−,-0.3653,0.0
IFN-γ,ILC3,−,-0.3342,0.0
IFN-γ,ILC3,−,-0.3032,0.0
IFN-γ,ILC3,−,-0.2721,0.0
IFN-γ,ILC3,−,-0.2411,0.0
IFN-γ,ILC3,−,-0.21,0.0
IFN-γ,ILC3,−,-0.179,0.0
IFN-γ,ILC3,−,-0.1479,0.0
IFN-γ,ILC3,−,-0.1169,0.0
IFN-γ,ILC3,−,-0.0858,0.0
IFN-γ,ILC3,−,-0.0548,0.0
IFN-γ,ILC3,−,-0.0237,0.0
IFN-γ,ILC3,−,0.0073,0.0
IFN-γ,ILC3,−,0.0384,1e-05
IFN-γ,ILC3,−,0.0694,1e-05
IFN-γ,ILC3,−,0.1005,2e-05
IFN-γ,ILC3,−,0.1315,4e-05
IFN-γ,ILC3,−,0.1626,8e-05
IFN-γ,ILC3,−,0.1936,0.00014
IFN-γ,ILC3,−,0.2247,0.00024
IFN-γ,ILC3,−,0.2557,0.0004
IFN-γ,ILC3,−,0.2868,0.00067
IFN-γ,ILC3,−,0.3178,0.00109
IFN-γ,ILC3,−,0.3489,0.00176
IFN-γ,ILC3,−,0.3799,0.0028
IFN-γ,ILC3,−,0.411,0.00436
IFN-γ,ILC3,−,0.442,0.00669
IFN-γ,ILC3,−,0.4731,0.01009
IFN-γ,ILC3,−,0.5041,0.01497
IFN-γ,ILC3,−,0.5352,0.02183
IFN-γ,ILC3,−,0.5662,0.03132
IFN-γ,ILC3,−,0.5973,0.04418
IFN-γ,ILC3,−,0.6283,0.06129
IFN-γ,ILC3,−,0.6594,0.08361
IFN-γ,ILC3,−,0.6904,0.11217
IFN-γ,ILC3,−,0.7215,0.14799
IFN-γ,ILC3,−,0.7525,0.192
IFN-γ,ILC3,−,0.7836,0.24498
IFN-γ,ILC3,−,0.8146,0.30737
IFN-γ,ILC3,−,0.8457,0.37926
IFN-γ,ILC3,−,0.8767,0.46019
IFN-γ,ILC3,−,0.9078,0.54913
IFN-γ,ILC3,−,0.9388,0.64437
IFN-γ,ILC3,−,0.9699,0.74359
IFN-γ,ILC3,−,1.0009,0.84384
IFN-γ,ILC3,−,1.032,0.9417
IFN-γ,ILC3,−,1.063,1.03348
IFN-γ,ILC3,−,1.0941,1.11537
IFN-γ,ILC3,−,1.1251,1.18377
IFN-γ,ILC3,−,1.1562,1.23551
IFN-γ,ILC3,−,1.1872,1.26811
IFN-γ,ILC3,−,1.2183,1.27997
IFN-γ,ILC3,−,1.2493,1.27049
IFN-γ,ILC3,−,1.2804,1.24015
IFN-γ,ILC3,−,1.3114,1.19043
IFN-γ,ILC3,−,1.3425,1.12375
IFN-γ,ILC3,−,1.3735,1.04319
IFN-γ,ILC3,−,1.4046,0.95233
IFN-γ,ILC3,−,1.4356,0.85496
IFN-γ,ILC3,−,1.4667,0.7548
IFN-γ,ILC3,−,1.4977,0.65531
IFN-γ,ILC3,−,1.5288,0.5595
IFN-γ,ILC3,−,1.5598,0.46976
IFN-γ,ILC3,−,1.5909,0.38787
IFN-γ,ILC3,−,1.6219,0.31494
IFN-γ,ILC3,−,1.653,0.25148
IFN-γ,ILC3,−,1.684,0.19747
IFN-γ,ILC3,−,1.7151,0.15249
IFN-γ,ILC3,−,1.7461,0.1158
IFN-γ,ILC3,−,1.7772,0.08647
IFN-γ,ILC3,−,1.8082,0.06351
IFN-γ,ILC3,−,1.8393,0.04586
IFN-γ,ILC3,−,1.8703,0.03257
IFN-γ,ILC3,−,1.9014,0.02275
IFN-γ,ILC3,−,1.9324,0.01562
IFN-γ,ILC3,−,1.9635,0.01055
IFN-γ,ILC3,−,1.9945,0.00701
IFN-γ,ILC3,−,2.0256,0.00458
IFN-γ,ILC3,−,2.0566,0.00294
IFN-γ,ILC3,−,2.0877,0.00186
IFN-γ,ILC3,−,2.1187,0.00115
IFN-γ,ILC3,−,2.1498,0.00071
IFN-γ,ILC3,−,2.1808,0.00042
IFN-γ,ILC3,−,2.2119,0.00025
IFN-γ,ILC3,−,2.2429,0.00015
IFN-γ,ILC3,−,2.274,8e-05
IFN-γ,ILC3,−,2.305,5e-05
IFN-γ,ILC3,−,2.3361,3e-05
IFN-γ,ILC3,−,2.3671,1e-05
IFN-γ,ILC3,−,2.3982,1e-05
IFN-γ,ILC3,−,2.4292,0.0
IFN-γ,ILC3,−,2.4603,0.0
IFN-γ,ILC3,−,2.4913,0.0
IFN-γ,ILC3,−,2.5224,0.0
IFN-γ,ILC3,−,2.5534,0.0
IFN-γ,ILC3,−,2.5845,0.0
IFN-γ,ILC3,−,2.6155,0.0
IFN-γ,ILC3,−,2.6466,0.0
IFN-γ,ILC3,−,2.6776,0.0
IFN-γ,ILC3,−,2.7087,0.0
IFN-γ,ILC3,−,2.7397,0.0
IFN-γ,ILC3,−,2.7708,0.0
IFN-γ,ILC3,−,2.8018,0.0
IFN-γ,ILC3,−,2.8329,0.0
IFN-γ,ILC3,−,2.8639,0.0
IFN-γ,ILC3,−,2.895,0.0
IFN-γ,ILC3,−,2.926,0.0
IFN-γ,ILC3,−,2.9571,0.0
IFN-γ,ILC3,−,2.9881,0.0
IFN-γ,ILC3,−,3.0192,0.0
IFN-γ,ILC3,−,3.0502,0.0
IFN-γ,ILC3,−,3.0813,0.0
IFN-γ,ILC3,−,3.1123,0.0
IFN-γ,ILC3,−,3.1434,0.0
IFN-γ,ILC3,−,3.1744,0.0
IFN-γ,ILC3,−,3.2055,0.0
IFN-γ,ILC3,−,3.2365,0.0
IFN-γ,ILC3,−,3.2676,0.0
IFN-γ,ILC3,−,3.2986,0.0
IFN-γ,ILC3,−,3.3297,0.0
IFN-γ,ILC3,−,3.3607,0.0
IFN-γ,ILC3,−,3.3918,0.0
IFN-γ,ILC3,−,3.4228,0.0
IFN-γ,ILC3,−,3.4539,0.0
IFN-γ,ILC3,−,3.4849,0.0
IFN-γ,ILC3,−,3.516,0.0
IFN-γ,ILC3,−,3.547,0.0
IFN-γ,ILC3,−,3.5781,0.0
IFN-γ,ILC3,−,3.6091,0.0
IFN-γ,ILC3,−,3.6402,0.0
IFN-γ,ILC3,−,3.6712,0.0
IFN-γ,ILC3,−,3.7023,0.0
IFN-γ,ILC3,−,3.7333,0.0
IFN-γ,ILC3,−,3.7644,0.0
IFN-γ,ILC3,−,3.7954,0.0
IFN-γ,ILC3,−,3.8265,0.0
IFN-γ,ILC3,−,3.8575,0.0
IFN-γ,ILC3,−,3.8886,0.0
IFN-γ,ILC3,−,3.9196,0.0
IFN-γ,ILC3,−,3.9507,0.0
IFN-γ,ILC3,−,3.9817,0.0
IFN-γ,ILC3,−,4.0128,0.0
IFN-γ,ILC3,−,4.0438,0.0
IFN-γ,ILC3,−,4.0749,0.0
IFN-γ,ILC3,−,4.1059,0.0
IFN-γ,ILC3,−,4.137,0.0
IFN-γ,ILC3,−,4.168,0.0
IFN-γ,ILC3,−,4.1991,0.0
IFN-γ,ILC3,−,4.2301,0.0
IFN-γ,ILC3,−,4.2612,0.0
IFN-γ,ILC3,−,4.2922,0.0
IFN-γ,ILC3,−,4.3233,0.0
IFN-γ,ILC3,−,4.3543,0.0
IFN-γ,ILC3,−,4.3854,0.0
IFN-γ,ILC3,−,4.4164,0.0
IFN-γ,ILC3,−,4.4475,0.0
IFN-γ,ILC3,−,4.4785,0.0
IFN-γ,ILC3,−,4.5096,0.0
IFN-γ,ILC3,−,4.5406,0.0
IFN-γ,ILC3,−,4.5717,0.0
IFN-γ,ILC3,−,4.6027,0.0
IFN-γ,ILC3,−,4.6338,0.0
IFN-γ,ILC3,−,4.6648,0.0
IFN-γ,ILC3,−,4.6959,0.0
IFN-γ,ILC3,−,4.7269,0.0
IFN-γ,ILC3,−,4.758,0.0
IFN-γ,ILC3,−,4.789,0.0
IFN-γ,ILC3,−,4.8201,0.0
IFN-γ,ILC3,−,4.8511,0.0
IFN-γ,ILC3,−,4.8822,0.0
IFN-γ,ILC3,−,4.9132,0.0
IFN-γ,ILC3,−,4.9443,0.0
IFN-γ,ILC3,−,4.9753,0.0
IFN-γ,ILC3,−,5.0064,0.0
IFN-γ,ILC3,−,5.0374,0.0
IFN-γ,ILC3,−,5.0685,0.0
IFN-γ,ILC3,−,5.0995,0.0
IFN-γ,ILC3,−,5.1306,0.0
IFN-γ,ILC3,−,5.1616,0.0
IFN-γ,ILC3,−,5.1927,0.0
IFN-γ,ILC3,−,5.2237,0.0
IFN-γ,ILC3,−,5.2548,0.0
IFN-γ,ILC3,−,5.2858,0.0
IFN-γ,ILC3,−,5.3169,0.0
IFN-γ,ILC3,−,5.3479,0.0
IFN-γ,ILC3,−,5.379,0.0
IFN-γ,ILC3,−,5.41,0.0
IFN-γ,ILC3,−,5.4411,0.0
IFN-γ,ILC3,−,5.4721,0.0
IFN-γ,ILC3,−,5.5032,0.0
IFN-γ,ILC3,−,5.5342,0.0
IFN-γ,ILC3,−,5.5653,0.0
IFN-γ,ILC3,−,5.5963,0.0
IFN-γ,ILC3,−,5.6274,0.0
IFN-γ,ILC3,−,5.6584,0.0
IFN-γ,ILC3,−,5.6895,0.0
IFN-γ,ILC3,−,5.7205,0.0
IFN-γ,ILC3,−,5.7516,0.0
IFN-γ,ILC3,−,5.7826,0.0
IFN-γ,ILC3,−,5.8137,0.0
IFN-γ,ILC3,−,5.8447,0.0
IFN-γ,ILC3,−,5.8758,0.0
IFN-γ,ILC3,−,5.9068,0.0
IFN-γ,ILC3,−,5.9379,0.0
IFN-γ,ILC3,−,5.9689,0.0
IFN-γ,ILC3,−,6.0,0.0
IFN-γ,ILC3,+,-0.8,0.0
IFN-γ,ILC3,+,-0.7689,0.0
IFN-γ,ILC3,+,-0.7379,0.0
IFN-γ,ILC3,+,-0.7068,0.0
IFN-γ,ILC3,+,-0.6758,0.0
IFN-γ,ILC3,+,-0.6447,0.0
IFN-γ,ILC3,+,-0.6137,0.0
IFN-γ,ILC3,+,-0.5826,0.0
IFN-γ,ILC3,+,-0.5516,0.0
IFN-γ,ILC3,+,-0.5205,0.0
IFN-γ,ILC3,+,-0.4895,0.0
IFN-γ,ILC3,+,-0.4584,1e-05
IFN-γ,ILC3,+,-0.4274,1e-05
IFN-γ,ILC3,+,-0.3963,1e-05
IFN-γ,ILC3,+,-0.3653,1e-05
IFN-γ,ILC3,+,-0.3342,2e-05
IFN-γ,ILC3,+,-0.3032,2e-05
IFN-γ,ILC3,+,-0.2721,3e-05
IFN-γ,ILC3,+,-0.2411,4e-05
IFN-γ,ILC3,+,-0.21,5e-05
IFN-γ,ILC3,+,-0.179,6e-05
IFN-γ,ILC3,+,-0.1479,8e-05
IFN-γ,ILC3,+,-0.1169,0.0001
IFN-γ,ILC3,+,-0.0858,0.00013
IFN-γ,ILC3,+,-0.0548,0.00017
IFN-γ,ILC3,+,-0.0237,0.00022
IFN-γ,ILC3,+,0.0073,0.00029
IFN-γ,ILC3,+,0.0384,0.00037
IFN-γ,ILC3,+,0.0694,0.00049
IFN-γ,ILC3,+,0.1005,0.00065
IFN-γ,ILC3,+,0.1315,0.00087
IFN-γ,ILC3,+,0.1626,0.00117
IFN-γ,ILC3,+,0.1936,0.00159
IFN-γ,ILC3,+,0.2247,0.00218
IFN-γ,ILC3,+,0.2557,0.00302
IFN-γ,ILC3,+,0.2868,0.0042
IFN-γ,ILC3,+,0.3178,0.00586
IFN-γ,ILC3,+,0.3489,0.00818
IFN-γ,ILC3,+,0.3799,0.01139
IFN-γ,ILC3,+,0.411,0.01578
IFN-γ,ILC3,+,0.442,0.02172
IFN-γ,ILC3,+,0.4731,0.02967
IFN-γ,ILC3,+,0.5041,0.04014
IFN-γ,ILC3,+,0.5352,0.05373
IFN-γ,ILC3,+,0.5662,0.07111
IFN-γ,ILC3,+,0.5973,0.09298
IFN-γ,ILC3,+,0.6283,0.12002
IFN-γ,ILC3,+,0.6594,0.15288
IFN-γ,ILC3,+,0.6904,0.19211
IFN-γ,ILC3,+,0.7215,0.23808
IFN-γ,ILC3,+,0.7525,0.29091
IFN-γ,ILC3,+,0.7836,0.35041
IFN-γ,ILC3,+,0.8146,0.41605
IFN-γ,ILC3,+,0.8457,0.48686
IFN-γ,ILC3,+,0.8767,0.56148
IFN-γ,ILC3,+,0.9078,0.63815
IFN-γ,ILC3,+,0.9388,0.71477
IFN-γ,ILC3,+,0.9699,0.78901
IFN-γ,ILC3,+,1.0009,0.85841
IFN-γ,ILC3,+,1.032,0.92052
IFN-γ,ILC3,+,1.063,0.97309
IFN-γ,ILC3,+,1.0941,1.01421
IFN-γ,ILC3,+,1.1251,1.04244
IFN-γ,ILC3,+,1.1562,1.05692
IFN-γ,ILC3,+,1.1872,1.05744
IFN-γ,ILC3,+,1.2183,1.04445
