marker,group,x,density
CD161,c1,-1.0,0.0
CD161,c1,-0.9635,0.0
CD161,c1,-0.9269,0.0
CD161,c1,-0.8904,0.0
CD161,c1,-0.8539,0.0
CD161,c1,-0.8174,0.0
CD161,c1,-0.7808,0.0
CD161,c1,-0.7443,0.0
CD161,c1,-0.7078,0.0
CD161,c1,-0.6712,0.0
CD161,c1,-0.6347,0.0
CD161,c1,-0.5982,0.0
CD161,c1,-0.5616,0.0
CD161,c1,-0.5251,0.0
CD161,c1,-0.4886,0.0
CD161,c1,-0.4521,0.0
CD161,c1,-0.4155,0.0
CD161,c1,-0.379,0.0
CD161,c1,-0.3425,0.0
CD161,c1,-0.3059,0.0
CD161,c1,-0.2694,0.0
CD161,c1,-0.2329,0.0
CD161,c1,-0.1963,0.0
CD161,c1,-0.1598,1e-05
CD161,c1,-0.1233,1e-05
CD161,c1,-0.0868,1e-05
CD161,c1,-0.0502,1e-05
CD161,c1,-0.0137,1e-05
CD161,c1,0.0228,2e-05
CD161,c1,0.0594,2e-05
CD161,c1,0.0959,2e-05
CD161,c1,0.1324,3e-05
CD161,c1,0.1689,3e-05
CD161,c1,0.2055,4e-05
CD161,c1,0.242,5e-05
CD161,c1,0.2785,6e-05
CD161,c1,0.3151,7e-05
CD161,c1,0.3516,9e-05
CD161,c1,0.3881,0.00011
CD161,c1,0.4247,0.00013
CD161,c1,0.4612,0.00015
CD161,c1,0.4977,0.00018
CD161,c1,0.5342,0.00022
CD161,c1,0.5708,0.00026
CD161,c1,0.6073,0.0003
CD161,c1,0.6438,0.00036
CD161,c1,0.6804,0.00042
CD161,c1,0.7169,0.0005
CD161,c1,0.7534,0.00059
CD161,c1,0.79,0.00069
CD161,c1,0.8265,0.0008
CD161,c1,0.863,0.00094
CD161,c1,0.8995,0.00109
CD161,c1,0.9361,0.00126
CD161,c1,0.9726,0.00146
CD161,c1,1.0091,0.00168
CD161,c1,1.0457,0.00194
CD161,c1,1.0822,0.00223
CD161,c1,1.1187,0.00255
CD161,c1,1.1553,0.00292
CD161,c1,1.1918,0.00333
CD161,c1,1.2283,0.00379
CD161,c1,1.2648,0.0043
CD161,c1,1.3014,0.00487
CD161,c1,1.3379,0.0055
CD161,c1,1.3744,0.0062
CD161,c1,1.411,0.00698
CD161,c1,1.4475,0.00783
CD161,c1,1.484,0.00876
CD161,c1,1.5205,0.00978
CD161,c1,1.5571,0.01089
CD161,c1,1.5936,0.01211
CD161,c1,1.6301,0.01342
CD161,c1,1.6667,0.01484
CD161,c1,1.7032,0.01638
CD161,c1,1.7397,0.01803
CD161,c1,1.7763,0.0198
CD161,c1,1.8128,0.02169
CD161,c1,1.8493,0.02371
CD161,c1,1.8858,0.02585
CD161,c1,1.9224,0.02812
CD161,c1,1.9589,0.03052
CD161,c1,1.9954,0.03304
CD161,c1,2.032,0.03569
CD161,c1,2.0685,0.03845
CD161,c1,2.105,0.04134
CD161,c1,2.1416,0.04433
CD161,c1,2.1781,0.04743
CD161,c1,2.2146,0.05062
CD161,c1,2.2511,0.0539
CD161,c1,2.2877,0.05726
CD161,c1,2.3242,0.06069
CD161,c1,2.3607,0.06416
CD161,c1,2.3973,0.06768
CD161,c1,2.4338,0.07122
CD161,c1,2.4703,0.07477
CD161,c1,2.5068,0.07831
CD161,c1,2.5434,0.08184
CD161,c1,2.5799,0.08532
CD161,c1,2.6164,0.08875
CD161,c1,2.653,0.09211
CD161,c1,2.6895,0.0954
CD161,c1,2.726,0.0986
CD161,c1,2.7626,0.1017
CD161,c1,2.7991,0.10472
CD161,c1,2.8356,0.10765
CD161,c1,2.8721,0.11053
CD161,c1,2.9087,0.11337
CD161,c1,2.9452,0.11622
CD161,c1,2.9817,0.11917
CD161,c1,3.0183,0.12228
CD161,c1,3.0548,0.12569
CD161,c1,3.0913,0.12955
CD161,c1,3.1279,0.13405
CD161,c1,3.1644,0.13941
CD161,c1,3.2009,0.14593
CD161,c1,3.2374,0.15394
CD161,c1,3.274,0.16382
CD161,c1,3.3105,0.17599
CD161,c1,3.347,0.19096
CD161,c1,3.3836,0.20924
CD161,c1,3.4201,0.2314
CD161,c1,3.4566,0.25799
CD161,c1,3.4932,0.28961
CD161,c1,3.5297,0.32678
CD161,c1,3.5662,0.36999
CD161,c1,3.6027,0.41964
CD161,c1,3.6393,0.47601
CD161,c1,3.6758,0.53922
CD161,c1,3.7123,0.60919
CD161,c1,3.7489,0.68564
CD161,c1,3.7854,0.76802
CD161,c1,3.8219,0.85553
CD161,c1,3.8584,0.9471
CD161,c1,3.895,1.04141
CD161,c1,3.9315,1.13689
CD161,c1,3.968,1.23176
CD161,c1,4.0046,1.3241
CD161,c1,4.0411,1.41185
CD161,c1,4.0776,1.49298
CD161,c1,4.1142,1.56547
CD161,c1,4.1507,1.62744
CD161,c1,4.1872,1.67721
CD161,c1,4.2237,1.71338
CD161,c1,4.2603,1.73491
CD161,c1,4.2968,1.74113
CD161,c1,4.3333,1.73178
CD161,c1,4.3699,1.70706
CD161,c1,4.4064,1.66757
CD161,c1,4.4429,1.61431
CD161,c1,4.4795,1.54863
CD161,c1,4.516,1.47218
CD161,c1,4.5525,1.38682
CD161,c1,4.589,1.29456
CD161,c1,4.6256,1.19746
CD161,c1,4.6621,1.09758
CD161,c1,4.6986,0.99689
CD161,c1,4.7352,0.89721
CD161,c1,4.7717,0.80016
CD161,c1,4.8082,0.70713
CD161,c1,4.8447,0.61925
CD161,c1,4.8813,0.53737
CD161,c1,4.9178,0.4621
CD161,c1,4.9543,0.39378
CD161,c1,4.9909,0.33254
CD161,c1,5.0274,0.2783
CD161,c1,5.0639,0.23082
CD161,c1,5.1005,0.18974
CD161,c1,5.137,0.15458
CD161,c1,5.1735,0.12483
CD161,c1,5.21,0.09992
CD161,c1,5.2466,0.07929
CD161,c1,5.2831,0.06238
CD161,c1,5.3196,0.04867
CD161,c1,5.3562,0.03765
CD161,c1,5.3927,0.0289
CD161,c1,5.4292,0.022
CD161,c1,5.4658,0.01663
CD161,c1,5.5023,0.01247
CD161,c1,5.5388,0.0093
CD161,c1,5.5753,0.00689
CD161,c1,5.6119,0.00507
CD161,c1,5.6484,0.00372
CD161,c1,5.6849,0.00271
CD161,c1,5.7215,0.00198
CD161,c1,5.758,0.00144
CD161,c1,5.7945,0.00105
CD161,c1,5.8311,0.00076
CD161,c1,5.8676,0.00056
CD161,c1,5.9041,0.00041
CD161,c1,5.9406,0.0003
CD161,c1,5.9772,0.00023
CD161,c1,6.0137,0.00017
CD161,c1,6.0502,0.00013
CD161,c1,6.0868,0.0001
CD161,c1,6.1233,8e-05
CD161,c1,6.1598,6e-05
CD161,c1,6.1963,5e-05
CD161,c1,6.2329,4e-05
CD161,c1,6.2694,3e-05
CD161,c1,6.3059,2e-05
CD161,c1,6.3425,2e-05
CD161,c1,6.379,2e-05
CD161,c1,6.4155,1e-05
CD161,c1,6.4521,1e-05
CD161,c1,6.4886,1e-05
CD161,c1,6.5251,1e-05
CD161,c1,6.5616,1e-05
CD161,c1,6.5982,0.0
CD161,c1,6.6347,0.0
CD161,c1,6.6712,0.0
CD161,c1,6.7078,0.0
CD161,c1,6.7443,0.0
CD161,c1,6.7808,0.0
CD161,c1,6.8174,0.0
CD161,c1,6.8539,0.0
CD161,c1,6.8904,0.0
CD161,c1,6.9269,0.0
CD161,c1,6.9635,0.0
CD161,c1,7.0,0.0
CD161,c2,-1.0,0.0
CD161,c2,-0.9635,0.0
CD161,c2,-0.9269,0.0
CD161,c2,-0.8904,0.0
CD161,c2,-0.8539,0.0
CD161,c2,-0.8174,0.0
CD161,c2,-0.7808,0.0
CD161,c2,-0.7443,1e-05
CD161,c2,-0.7078,1e-05
CD161,c2,-0.6712,1e-05
CD161,c2,-0.6347,1e-05
CD161,c2,-0.5982,2e-05
CD161,c2,-0.5616,3e-05
CD161,c2,-0.5251,4e-05
CD161,c2,-0.4886,5e-05
CD161,c2,-0.4521,7e-05
CD161,c2,-0.4155,9e-05
CD161,c2,-0.379,0.00012
CD161,c2,-0.3425,0.00016
CD161,c2,-0.3059,0.00021
CD161,c2,-0.2694,0.00028
CD161,c2,-0.2329,0.00036
CD161,c2,-0.1963,0.00047
CD161,c2,-0.1598,0.00061
CD161,c2,-0.1233,0.00079
CD161,c2,-0.0868,0.00101
CD161,c2,-0.0502,0.00129
CD161,c2,-0.0137,0.00164
CD161,c2,0.0228,0.00207
