region,age,density
Western Europe,15.0,0.0
Western Europe,14.98501,0.0
Western Europe,14.97003,0.0
Western Europe,14.95504,0.0
Western Europe,14.94006,0.0
Western Europe,14.92507,0.0
Western Europe,14.91009,0.0
Western Europe,14.8951,0.0
Western Europe,14.88012,0.0
Western Europe,14.86513,0.0
Western Europe,14.85015,0.0
Western Europe,14.83516,0.0
Western Europe,14.82018,0.0
Western Europe,14.80519,0.0
Western Europe,14.79021,0.0
Western Europe,14.77522,0.0
Western Europe,14.76024,0.0
Western Europe,14.74525,0.0
Western Europe,14.73027,0.0
Western Europe,14.71528,0.0
Western Europe,14.7003,0.0
Western Europe,14.68531,0.0
Western Europe,14.67033,0.0
Western Europe,14.65534,0.0
Western Europe,14.64036,0.0
Western Europe,14.62537,0.0
Western Europe,14.61039,0.0
Western Europe,14.5954,0.0
Western Europe,14.58042,0.0
Western Europe,14.56543,0.0
Western Europe,14.55045,0.0
Western Europe,14.53546,0.0
Western Europe,14.52048,0.0
Western Europe,14.50549,0.0
Western Europe,14.49051,0.0
Western Europe,14.47552,0.0
Western Europe,14.46054,0.0
Western Europe,14.44555,0.0
Western Europe,14.43057,0.0
Western Europe,14.41558,0.0
Western Europe,14.4006,0.0
Western Europe,14.38561,0.0
Western Europe,14.37063,0.0
Western Europe,14.35564,0.0
Western Europe,14.34066,0.0
Western Europe,14.32567,0.0
Western Europe,14.31069,0.0
Western Europe,14.2957,0.0
Western Europe,14.28072,0.0
Western Europe,14.26573,0.0
Western Europe,14.25075,0.0
Western Europe,14.23576,0.0
Western Europe,14.22078,0.0
Western Europe,14.20579,0.0
Western Europe,14.19081,0.0
Western Europe,14.17582,0.0
Western Europe,14.16084,0.0
Western Europe,14.14585,0.0
Western Europe,14.13087,0.0
Western Europe,14.11588,0.0
Western Europe,14.1009,0.0
Western Europe,14.08591,0.0
Western Europe,14.07093,0.0
Western Europe,14.05594,0.0
Western Europe,14.04096,0.0
Western Europe,14.02597,0.0
Western Europe,14.01099,0.0
Western Europe,13.996,0.0
Western Europe,13.98102,0.0
Western Europe,13.96603,0.0
Western Europe,13.95105,0.0
Western Europe,13.93606,0.0
Western Europe,13.92108,0.0
Western Europe,13.90609,0.0
Western Europe,13.89111,0.0
Western Europe,13.87612,0.0
Western Europe,13.86114,0.0
Western Europe,13.84615,0.0
Western Europe,13.83117,0.0
Western Europe,13.81618,0.0
