region,age,weight
Western Europe,5.5856,0.0913
Western Europe,2.8353,0.0827
Western Europe,3.4247,0.0152
Western Europe,6.3115,0.3502
Western Europe,3.5721,0.0881
Western Europe,4.849,0.0271
Western Europe,4.5189,0.0216
Western Europe,2.96,0.1097
Western Europe,3.3483,0.3144
Western Europe,2.5465,0.0579
Western Europe,3.391,0.0084
Western Europe,3.1866,0.1251
Western Europe,5.1989,0.0032
Western Europe,2.052,0.0408
Western Europe,3.93,0.1896
Western Europe,3.7706,0.0316
Western Europe,2.4072,0.0037
Western Europe,8.4241,0.21
Western Europe,3.3521,0.128
Western Europe,5.5498,0.0355
Western Europe,4.3417,0.0046
Western Europe,4.6926,0.053
Western Europe,1.2859,0.0352
Western Europe,4.154,0.0052
Western Europe,2.6294,0.0279
Western Europe,7.0906,0.0264
Western Europe,5.6891,0.006
Western Europe,8.5291,0.0421
Western Europe,2.7478,0.0185
Western Europe,3.1628,0.0509
Western Europe,6.9106,0.0394
Western Europe,4.9257,0.0941
Western Europe,5.9292,0.0999
Western Europe,2.8281,0.0344
Western Europe,8.7245,0.01
Western Europe,9.4561,0.104
Western Europe,5.8923,0.195
Western Europe,1.6267,0.0365
Western Europe,6.6931,0.0545
Western Europe,2.3331,0.02
Western Europe,5.5564,0.0222
Western Europe,1.2554,0.0129
Western Europe,6.06,0.0837
Western Europe,2.3469,0.1433
Western Europe,5.2347,0.0081
Western Europe,5.0023,0.1294
Western Europe,3.5439,0.0264
Western Europe,2.6728,0.1147
Western Europe,4.0129,0.0285
Western Europe,9.3423,0.0586
Western Europe,9.594,0.4556
Western Europe,4.4923,0.124
Western Europe,2.521,0.0719
Western Europe,2.8616,0.02
Western Europe,2.9175,0.1017
Western Europe,8.5899,0.0151
Western Europe,5.4848,0.0878
Western Europe,4.4955,0.02
Western Europe,4.5613,0.0233
Western Europe,4.2281,0.127
Western Europe,7.4629,0.0683
Western Europe,3.5234,0.1404
Western Europe,3.0626,0.187
Western Europe,3.0324,0.0365
Western Europe,4.6322,0.0029
Western Europe,8.7392,0.012
Western Europe,4.3637,0.0989
Western Europe,6.7281,0.1312
Western Europe,8.64,0.2138
Western Europe,1.7598,0.0133
Western Europe,3.2031,0.0207
Western Europe,1.9033,0.0206
Western Europe,3.878,0.0099
Western Europe,8.094,0.0496
Western Europe,7.4044,0.0324
Western Europe,4.712,0.164
Western Europe,3.9978,0.1247
Western Europe,4.3378,0.0319
Western Europe,6.3034,0.0
Western Europe,6.7527,0.1628
Western Europe,1.7687,0.0349
Western Europe,2.4758,0.0245
Western Europe,2.1915,0.0409
Western Europe,6.5189,0.1225
Western Europe,4.567,0.3803
Western Europe,2.2712,0.02
Western Europe,3.4977,0.0244
Western Europe,6.7119,0.2214
Western Europe,7.4323,0.0514
Western Europe,8.0778,0.1
Western Europe,2.3976,0.0183
Western Europe,1.0411,0.0757
Western Europe,6.9695,0.0515
Western Europe,4.8075,0.0245
Western Europe,5.2441,0.0287
Western Europe,3.9144,0.0669
Western Europe,5.4415,0.0954
Western Europe,5.191,0.4308
Western Europe,1.7317,0.1656
Western Europe,5.8334,0.0157
Western Europe,4.8578,0.084
Western Europe,3.5287,0.0091
Western Europe,7.5561,0.3093
Western Europe,5.3283,0.0187
Western Europe,1.907,0.0155
Western Europe,5.1629,0.0764
Western Europe,7.8874,0.0206
Western Europe,5.3524,0.2317
Western Europe,2.9604,0.2263
Western Europe,3.0554,0.2689
Western Europe,3.2462,0.0534
Western Europe,4.2533,0.0625
Western Europe,6.6665,0.0853
Western Europe,4.3806,0.0037
Western Europe,3.1245,0.1438
Western Europe,7.6832,0.0313
Western Europe,2.5931,0.0597
Western Europe,3.4001,0.0344
Western Europe,6.0875,0.2967
Western Europe,3.0267,0.2117
Western Europe,8.4646,0.0413
Western Europe,1.3755,0.0077
Western Europe,3.4667,0.1075
Western Europe,9.6317,0.1175
Western Europe,2.7377,0.034
Western Europe,2.6212,0.0291
Western Europe,6.4948,0.0355
Western Europe,3.3316,0.0038
