cell_type,gene,expression,percent
Enterocyte 2,Tgfb1,0.03,3.1
Enterocyte 2,Tgfb2,0.03,3.1
Enterocyte 2,Tgfb3,0.03,1.75
Enterocyte 2,Itgb6,0.03,4.85
Enterocyte 2,Itgb8,0.03,1.0
Enterocyte 2,Itgav,0.03,15.71
Enterocyte 2,Ltbp1,0.03,1.75
Enterocyte 2,Ltbp3,0.03,9.5
Enterocyte 3,Tgfb1,0.03,1.75
Enterocyte 3,Tgfb2,0.03,1.75
Enterocyte 3,Tgfb3,0.03,1.75
Enterocyte 3,Itgb6,0.03,3.1
Enterocyte 3,Itgb8,0.03,1.0
Enterocyte 3,Itgav,0.03,6.98
Enterocyte 3,Ltbp1,0.03,1.75
Enterocyte 3,Ltbp3,0.03,4.85
CD8 T Cell αα⁺,Tgfb1,0.84,27.92
CD8 T Cell αα⁺,Tgfb2,0.03,4.85
CD8 T Cell αα⁺,Tgfb3,0.03,15.71
CD8 T Cell αα⁺,Itgb6,0.03,1.75
CD8 T Cell αα⁺,Itgb8,0.03,1.0
CD8 T Cell αα⁺,Itgav,0.03,19.39
CD8 T Cell αα⁺,Ltbp1,0.03,1.75
CD8 T Cell αα⁺,Ltbp3,0.03,1.75
Goblet,Tgfb1,0.03,4.85
Goblet,Tgfb2,0.03,1.75
Goblet,Tgfb3,0.03,1.75
Goblet,Itgb6,0.03,9.5
Goblet,Itgb8,0.03,1.0
Goblet,Itgav,0.03,9.5
Goblet,Ltbp1,0.03,3.1
Goblet,Ltbp3,0.03,3.1
MAIT,Tgfb1,1.104,32.77
MAIT,Tgfb2,0.03,12.41
MAIT,Tgfb3,1.008,27.92
MAIT,Itgb6,0.03,1.0
MAIT,Itgb8,0.03,3.1
MAIT,Itgav,0.888,32.77
MAIT,Ltbp1,1.944,56.04
MAIT,Ltbp3,0.03,27.92
Enterocyte 1,Tgfb1,0.03,1.75
Enterocyte 1,Tgfb2,0.03,3.1
Enterocyte 1,Tgfb3,0.03,1.0
Enterocyte 1,Itgb6,1.08,38.01
Enterocyte 1,Itgb8,0.03,1.0
Enterocyte 1,Itgav,0.03,27.92
Enterocyte 1,Ltbp1,0.03,1.75
Enterocyte 1,Ltbp3,0.03,19.39
T Cell γδ,Tgfb1,0.03,19.39
T Cell γδ,Tgfb2,0.03,4.85
T Cell γδ,Tgfb3,0.03,9.5
T Cell γδ,Itgb6,0.03,6.98
T Cell γδ,Itgb8,0.03,1.0
T Cell γδ,Itgav,0.03,15.71
T Cell γδ,Ltbp1,0.03,1.75
T Cell γδ,Ltbp3,0.03,6.98
NK Cell,Tgfb1,0.984,27.92
NK Cell,Tgfb2,0.03,9.5
NK Cell,Tgfb3,0.03,6.98
NK Cell,Itgb6,0.03,1.0
NK Cell,Itgb8,0.03,3.1
NK Cell,Itgav,0.03,27.92
NK Cell,Ltbp1,2.208,62.83
NK Cell,Ltbp3,0.03,12.41
T Cell,Tgfb1,0.792,27.92
T Cell,Tgfb2,0.03,4.85
T Cell,Tgfb3,0.03,9.5
T Cell,Itgb6,0.03,4.85
T Cell,Itgb8,0.03,1.0
T Cell,Itgav,0.03,15.71
T Cell,Ltbp1,0.03,3.1
T Cell,Ltbp3,0.03,3.1
ILC,Tgfb1,1.272,32.77
ILC,Tgfb2,0.03,9.5
ILC,Tgfb3,0.03,12.41
ILC,Itgb6,0.03,1.0
ILC,Itgb8,0.03,1.0
ILC,Itgav,0.03,9.5
ILC,Ltbp1,0.03,19.39
ILC,Ltbp3,0.03,4.85
CD8 T Cell αβ⁺,Tgfb1,0.03,12.41
CD8 T Cell αβ⁺,Tgfb2,0.03,1.75
CD8 T Cell αβ⁺,Tgfb3,0.03,1.75
CD8 T Cell αβ⁺,Itgb6,0.03,1.0
CD8 T Cell αβ⁺,Itgb8,0.03,1.0
CD8 T Cell αβ⁺,Itgav,0.03,4.85
CD8 T Cell αβ⁺,Ltbp1,0.03,1.75
CD8 T Cell αβ⁺,Ltbp3,0.03,1.0
B Cell,Tgfb1,1.464,49.64
B Cell,Tgfb2,0.03,3.1
B Cell,Tgfb3,0.03,3.1
B Cell,Itgb6,0.03,1.75
B Cell,Itgb8,0.03,1.0
B Cell,Itgav,0.03,15.71
B Cell,Ltbp1,0.03,15.71
B Cell,Ltbp3,0.03,4.85
Eosinophil,Tgfb1,2.976,62.83
Eosinophil,Tgfb2,0.03,1.75
Eosinophil,Tgfb3,0.03,6.98
Eosinophil,Itgb6,0.03,1.0
Eosinophil,Itgb8,0.03,1.0
Eosinophil,Itgav,0.03,15.71
Eosinophil,Ltbp1,0.03,12.41
Eosinophil,Ltbp3,0.03,6.98
Vascular Endothelial,Tgfb1,1.296,43.63
Vascular Endothelial,Tgfb2,0.03,6.98
Vascular Endothelial,Tgfb3,0.03,15.71
Vascular Endothelial,Itgb6,0.03,1.0
Vascular Endothelial,Itgb8,0.03,1.0
Vascular Endothelial,Itgav,0.03,6.98
Vascular Endothelial,Ltbp1,0.03,19.39
Vascular Endothelial,Ltbp3,0.03,6.98
Fibroblast Apoe⁺,Tgfb1,0.03,1.0
Fibroblast Apoe⁺,Tgfb2,0.03,1.0
Fibroblast Apoe⁺,Tgfb3,1.344,27.92
Fibroblast Apoe⁺,Itgb6,1.416,27.92
Fibroblast Apoe⁺,Itgb8,0.03,1.0
Fibroblast Apoe⁺,Itgav,0.03,1.0
Fibroblast Apoe⁺,Ltbp1,0.03,1.0
Fibroblast Apoe⁺,Ltbp3,0.03,1.0
cDC1,Tgfb1,1.872,56.04
cDC1,Tgfb2,0.03,1.75
cDC1,Tgfb3,0.03,4.85
cDC1,Itgb6,0.03,1.75
cDC1,Itgb8,0.03,1.75
cDC1,Itgav,0.03,15.71
cDC1,Ltbp1,0.03,9.5
cDC1,Ltbp3,0.03,4.85
DC2,Tgfb1,2.352,62.83
DC2,Tgfb2,0.03,3.1
DC2,Tgfb3,0.03,6.98
DC2,Itgb6,0.03,4.85
DC2,Itgb8,0.03,3.1
DC2,Itgav,0.03,15.71
DC2,Ltbp1,0.03,19.39
DC2,Ltbp3,0.03,6.98
Monocyte,Tgfb1,0.03,1.75
Monocyte,Tgfb2,0.03,3.1
Monocyte,Tgfb3,0.03,3.1
Monocyte,Itgb6,0.03,12.41
Monocyte,Itgb8,0.03,1.0
