word_id,text,x,y,role,font_size,group
h000,Kindness,258.0,11.0,highlight,3.9,Kindness
h001,Deception,263.0,25.0,highlight,3.9,Deception
h002,Attitude,231.0,42.0,highlight,3.9,Attitude
h003,Personality,225.0,54.0,highlight,3.9,Personality
h004,Ability,263.0,54.0,highlight,3.9,Ability
h005,Emotion,300.0,52.0,highlight,3.9,Emotion
h006,Feeling,302.0,71.0,highlight,3.9,Feeling
h007,Pleasure,324.0,31.0,highlight,3.9,Pleasure
h008,Useless,181.0,33.0,highlight,3.9,Useless
h009,Silly,167.0,61.0,highlight,3.9,Silly
h010,Crazy,171.0,69.0,highlight,3.9,Crazy
h011,Laugh,104.0,68.0,highlight,3.9,Laugh
h012,Angry,77.0,92.0,highlight,3.9,Angry
h013,Doom,20.0,108.0,highlight,3.9,Doom
h014,Ignore,36.0,123.0,highlight,3.9,Ignore
h015,Depression,183.0,83.0,highlight,3.9,Depression
h016,Inspire,207.0,96.0,highlight,3.9,Inspire
h017,Hurting,124.0,108.0,highlight,3.9,Hurting
h018,Poor,144.0,100.0,highlight,3.9,Poor
h019,Broken,155.0,112.0,highlight,3.9,Broken
h020,Changing,234.0,109.0,highlight,3.9,Changing
h021,Smart,276.0,113.0,highlight,3.9,Smart
h022,Garbage,310.0,100.0,highlight,3.9,Garbage
h023,Flags,370.0,98.0,highlight,3.9,Flags
h024,Health,386.0,108.0,highlight,3.9,Health
h025,Disease,420.0,111.0,highlight,3.9,Disease
h026,Skin,361.0,126.0,highlight,3.9,Skin
h027,Doctor,386.0,139.0,highlight,3.9,Doctor
h028,Medication,420.0,139.0,highlight,3.9,Medication
h029,Body,344.0,155.0,highlight,3.9,Body
h030,Capacity,276.0,164.0,highlight,3.9,Capacity
h031,Tool,262.0,171.0,highlight,3.9,Tool
h032,Place,298.0,171.0,highlight,3.9,Place
h033,Animal,273.0,179.0,highlight,3.9,Animal
h034,Money,315.0,195.0,highlight,3.9,Money
h035,Car,292.0,200.0,highlight,3.9,Car
h036,Movement,238.0,208.0,highlight,3.9,Movement
h037,Direction,277.0,215.0,highlight,3.9,Direction
h038,Construction,289.0,242.0,highlight,3.9,Construction
h039,Building,269.0,253.0,highlight,3.9,Building
h040,Apartment,250.0,270.0,highlight,3.9,Apartment
h041,Table,282.0,292.0,highlight,3.9,Table
h042,Driver,248.0,305.0,highlight,3.9,Driver
h043,Food,288.0,345.0,highlight,3.9,Food
h044,Taste,291.0,324.0,highlight,3.9,Taste
h045,Sugar,322.0,327.0,highlight,3.9,Sugar
h046,Dinner,292.0,369.0,highlight,3.9,Dinner
h047,Fear,252.0,239.0,highlight,3.9,Fear
h048,Weather,154.0,240.0,highlight,3.9,Weather
h049,Land,206.0,258.0,highlight,3.9,Land
h050,Juggle,183.0,272.0,highlight,3.9,Juggle
h051,Human,158.0,276.0,highlight,3.9,Human
h052,Insect,225.0,284.0,highlight,3.9,Insect
h053,Star,135.0,314.0,highlight,3.9,Star
h054,Fish,172.0,339.0,highlight,3.9,Fish
h055,Bird,143.0,348.0,highlight,3.9,Bird
h056,Ship,203.0,328.0,highlight,3.9,Ship
h057,Music,42.0,285.0,highlight,3.9,Music
h058,Sound,42.0,267.0,highlight,3.9,Sound
h059,Gun,87.0,225.0,highlight,3.9,Gun
h060,Danger,131.0,223.0,highlight,3.9,Danger
h061,Protection,129.0,202.0,highlight,3.9,Protection
h062,Suspect,56.0,209.0,highlight,3.9,Suspect
h063,Prison,67.0,177.0,highlight,3.9,Prison
h064,Trial,6.0,191.0,highlight,3.9,Trial
h065,War,104.0,161.0,highlight,3.9,War
h066,Argument,162.0,165.0,highlight,3.9,Argument
h067,Challenge,205.0,151.0,highlight,3.9,Challenge
h068,Help,210.0,162.0,highlight,3.9,Help
h069,Crime,226.0,164.0,highlight,3.9,Crime
h070,Teaching,245.0,153.0,highlight,3.9,Teaching
h071,Efficiency,267.0,136.0,highlight,3.9,Efficiency
h072,Coloring,209.0,189.0,highlight,3.9,Coloring
h073,Lift,191.0,187.0,highlight,3.9,Lift
h074,Disaster,185.0,180.0,highlight,3.9,Disaster
h075,Spots,176.0,202.0,highlight,3.9,Spots
h076,Play,194.0,207.0,highlight,3.9,Play
h077,Time,210.0,201.0,highlight,3.9,Time
h078,Bag,370.0,228.0,highlight,3.9,Bag
h079,Clothes,436.0,227.0,highlight,3.9,Clothes
h080,Wolf,423.0,243.0,highlight,3.9,Wolf
w000,Courage,264.0,31.5,word,2.7,Kindness
w001,Compassion,261.5,17.5,word,2.7,Kindness
w002,Honesty,236.0,9.5,word,2.7,Kindness
w003,Devotion,269.5,3.5,word,2.7,Kindness
w004,Falsehood,284.0,11.5,word,2.7,Kindness
w005,Generosity,266.0,42.5,word,2.7,Deception
w006,Commitment,247.0,35.5,word,2.7,Deception
w007,Values,273.0,18.5,word,2.7,Deception
w008,Behavior,244.5,47.0,word,2.7,Attitude
w009,Confidence,235.5,28.0,word,2.7,Attitude
w010,Opinion,238.0,19.5,word,2.7,Attitude
w011,Introspection,225.5,60.5,word,2.7,Personality
w012,Awareness,209.0,61.5,word,2.7,Personality
w013,Talent,260.5,64.5,word,2.7,Ability
w014,Imagination,254.0,47.0,word,2.7,Ability
w015,Joy,314.0,63.5,word,2.7,Emotion
w016,Expression,288.5,49.0,word,2.7,Emotion
w017,Dull,284.0,37.5,word,2.7,Emotion
w018,Mood,302.0,79.5,word,2.7,Feeling
w019,Understanding,276.0,61.5,word,2.7,Feeling
w020,Uninterested,304.5,59.5,word,2.7,Feeling
w021,Orgasm,346.0,42.5,word,2.7,Pleasure
w022,Partner,326.5,37.5,word,2.7,Pleasure
w023,Erotic,298.5,40.0,word,2.7,Pleasure
w024,Sex,325.5,21.0,word,2.7,Pleasure
w025,Kissing,334.5,11.5,word,2.7,Pleasure
w026,Intercourse,342.0,29.5,word,2.7,Pleasure
w027,Innocent,185.5,44.5,word,2.7,Useless
w028,Insignificant,169.5,27.0,word,2.7,Useless
w029,Unnecessary,190.5,39.0,word,2.7,Useless
w030,Absurd,178.0,64.0,word,2.7,Silly
w031,Ridiculous,156.0,64.5,word,2.7,Silly
w032,Under,157.0,55.0,word,2.7,Silly
w033,Bland,166.0,50.5,word,2.7,Silly
w034,Meaningless,180.5,55.5,word,2.7,Silly
w035,Whimsical,189.5,69.5,word,2.7,Crazy
w036,Laughable,154.0,69.5,word,2.7,Crazy
w037,Bizarre,170.0,55.0,word,2.7,Crazy
w038,Gasp,116.5,75.5,word,2.7,Laugh
w039,Grin,109.0,89.0,word,2.7,Laugh
w040,Sneeze,82.5,73.5,word,2.7,Laugh
w041,Smirk,88.5,60.5,word,2.7,Laugh
w042,Cry,103.5,54.0,word,2.7,Laugh
w043,Mad,108.0,60.5,word,2.7,Laugh
w044,Frightened,79.0,104.5,word,2.7,Angry
w045,Scared,66.0,98.5,word,2.7,Angry
w046,Worried,68.0,87.5,word,2.7,Angry
w047,Confused,68.0,83.0,word,2.7,Angry
w048,Annoyed,103.0,99.0,word,2.7,Angry
w049,Frustrate,48.5,113.0,word,2.7,Doom
w050,Disgust,24.5,114.5,word,2.7,Doom
w051,Conceal,31.0,95.0,word,2.7,Doom
w052,Stay,45.5,95.5,word,2.7,Doom
w053,Erase,55.0,117.5,word,2.7,Ignore
w054,Excited,33.5,132.0,word,2.7,Ignore
w055,Disappointed,28.0,101.5,word,2.7,Ignore
w056,Withdraw,57.5,109.0,word,2.7,Ignore
w057,Stress,180.5,102.5,word,2.7,Depression
w058,Feeling,153.5,83.0,word,2.7,Depression
w059,Sad,174.5,79.0,word,2.7,Depression
w060,Gloom,196.0,60.5,word,2.7,Depression
w061,Tale,203.5,116.0,word,2.7,Inspire
w062,Vanish,190.5,107.5,word,2.7,Inspire
w063,Unhealthy,182.0,96.5,word,2.7,Inspire
w064,Fear,216.0,84.0,word,2.7,Inspire
w065,Shaky,220.5,78.5,word,2.7,Inspire
w066,False,144.0,124.5,word,2.7,Hurting
w067,Desperate,115.5,116.5,word,2.7,Hurting
w068,Lonely,105.5,103.5,word,2.7,Hurting
w069,Hopeless,126.0,92.5,word,2.7,Hurting
w070,Tragedy,140.5,115.0,word,2.7,Hurting
w071,Wasted,169.5,119.5,word,2.7,Poor
w072,Strange,136.5,88.0,word,2.7,Poor
w073,Weak,152.0,89.0,word,2.7,Poor
w074,Spare,170.0,127.0,word,2.7,Broken
w075,Future,144.5,134.5,word,2.7,Broken
w076,Ordinary,153.0,94.0,word,2.7,Broken
w077,Complicated,178.0,120.5,word,2.7,Broken
w078,Death,238.0,118.5,word,2.7,Changing
w079,Dancing,229.5,127.0,word,2.7,Changing
w080,Hardship,217.5,121.0,word,2.7,Changing
w081,Healthy,242.0,104.0,word,2.7,Changing
w082,Lonely,246.0,86.5,word,2.7,Changing
w083,Beautiful,247.5,97.0,word,2.7,Changing
w084,Why,294.5,131.0,word,2.7,Smart
w085,Clever,259.0,123.5,word,2.7,Smart
w086,Learning,267.5,107.5,word,2.7,Smart
w087,Hopeful,270.5,95.0,word,2.7,Smart
w088,Lying,275.0,101.5,word,2.7,Smart
w089,Waste,322.0,113.0,word,2.7,Garbage
w090,Dump,303.0,111.0,word,2.7,Garbage
