path_id,order,x,y
p000,0,169.22,312.33
p000,1,40.03,236.66
p001,0,57.84,343.98
p001,1,153.29,328.82
p002,0,245.16,374.53
p002,1,323.87,350.57
p003,0,400.75,174.99
p003,1,332.91,124.77
p004,0,269.02,318.05
p004,1,342.33,286.77
p005,0,100.93,204.21
p005,1,32.72,182.9
p006,0,403.04,57.0
p006,1,402.68,124.0
p007,0,375.25,285.7
p007,1,405.02,210.4
p008,0,175.76,309.71
p008,1,232.99,254.94
p009,0,232.0,233.0
p009,1,284.0,194.0
p010,0,343.89,192.34
p010,1,411.7,181.2
p011,0,398.44,122.01
p011,1,397.58,185.99
p012,0,252.0,87.0
p012,1,200.0,60.0
p013,0,19.14,236.04
p013,1,34.93,180.69
p014,0,315.17,342.19
p014,1,258.22,329.98
p015,0,325.0,228.0
p015,1,268.0,224.0
p016,0,110.21,268.92
p016,1,106.66,211.96
p017,0,97.89,192.07
p017,1,68.36,143.39
p018,0,176.32,103.95
p018,1,223.7,73.54
p019,0,340.01,267.67
p019,1,260.98,266.15
p020,0,202.22,59.77
p020,1,218.09,6.32
p021,0,237.95,255.06
p021,1,199.26,215.73
p022,0,276.21,66.01
p022,1,330.19,54.95
p023,0,254.31,152.17
p023,1,305.56,132.84
p024,0,138.03,136.8
p024,1,84.26,127.5
p025,0,277.59,312.35
p025,1,236.87,275.14
p026,0,129.62,158.92
p026,1,141.1,105.24
p027,0,261.07,181.92
p027,1,216.86,144.97
p028,0,404.0,123.0
p028,1,353.0,109.0
p029,0,23.67,161.25
p029,1,71.69,140.29
p030,0,148.44,187.63
p030,1,190.68,157.97
p031,0,298.09,136.3
p031,1,282.07,87.3
p032,0,261.0,179.0
p032,1,220.0,148.0
p033,0,84.0,261.0
p033,1,40.0,235.0
p034,0,292.4,140.03
p034,1,246.48,120.85
p035,0,275.54,234.35
p035,1,235.19,180.61
p036,0,48.44,236.44
p036,1,88.68,196.68
p037,0,323.0,232.0
p037,1,349.0,190.0
p038,0,240.0,191.0
p038,1,260.0,146.0
p039,0,339.0,272.0
p039,1,325.0,226.0
p040,0,254.4,221.36
p040,1,291.27,180.34
p041,0,291.0,144.0
