link_id,document_id,topic_id,weight,source_position,target_position
l000,d0,t8,0.603,0.01389,0.93396
l001,d0,t4,0.651,0.04167,0.12188
l002,d0,t9,0.641,0.06944,0.05243
l003,d0,t9,1.11,0.09722,0.71857
l004,d0,t8,1.153,0.125,0.56259
l005,d0,t8,1.001,0.15278,0.41848
l006,d0,t9,0.618,0.18056,0.42403
l007,d0,t8,1.147,0.20833,0.93928
l008,d0,t9,1.022,0.23611,0.13866
l009,d0,t9,0.604,0.26389,0.923
l010,d0,t9,0.576,0.29167,0.91236
l011,d0,t1,1.5,0.31944,0.56905
l012,d0,t9,0.99,0.34722,0.8545
l013,d0,t8,1.127,0.375,0.55964
l014,d0,t8,0.901,0.40278,0.09975
l015,d0,t8,1.13,0.43056,0.10551
l016,d0,t9,1.398,0.45833,0.88509
l017,d0,t9,0.776,0.48611,0.92931
l018,d0,t9,1.065,0.51389,0.34669
l019,d0,t8,1.382,0.54167,0.79169
l020,d0,t8,1.273,0.56944,0.64824
l021,d0,t9,1.23,0.59722,0.58042
l022,d0,t8,1.032,0.625,0.45655
l023,d0,t8,0.909,0.65278,0.85721
l024,d0,t8,1.244,0.68056,0.66037
l025,d0,t9,1.287,0.70833,0.19489
l026,d0,t9,1.183,0.73611,0.84969
l027,d0,t9,1.126,0.76389,0.50879
l028,d0,t2,1.316,0.79167,0.72394
l029,d0,t8,1.082,0.81944,0.46402
l030,d0,t9,0.876,0.84722,0.0823
l031,d0,t9,0.901,0.875,0.1058
l032,d0,t9,0.627,0.90278,0.09737
l033,d0,t9,1.185,0.93056,0.25036
l034,d0,t6,1.441,0.95833,0.10605
l035,d0,t9,0.982,0.98611,0.60144
l036,d1,t0,0.629,0.01667,0.24019
l037,d1,t7,1.019,0.05,0.64295
l038,d1,t5,0.784,0.08333,0.71153
l039,d1,t1,1.183,0.11667,0.58711
l040,d1,t9,0.82,0.15,0.1825
l041,d1,t5,1.062,0.18333,0.77657
l042,d1,t0,0.55,0.21667,0.30845
l043,d1,t9,0.665,0.25,0.47538
l044,d1,t9,0.912,0.28333,0.90867
l045,d1,t9,1.31,0.31667,0.58711
l046,d1,t9,1.198,0.35,0.43436
l047,d1,t3,0.601,0.38333,0.07607
l048,d1,t3,0.673,0.41667,0.29089
l049,d1,t2,1.072,0.45,0.31959
l050,d1,t4,1.244,0.48333,0.366
l051,d1,t2,1.305,0.51667,0.86051
l052,d1,t2,0.588,0.55,0.59529
l053,d1,t9,1.094,0.58333,0.76249
l054,d1,t0,0.605,0.61667,0.44345
l055,d1,t5,0.854,0.65,0.86276
l056,d1,t9,1.156,0.68333,0.81383
l057,d1,t9,0.989,0.71667,0.84904
l058,d1,t9,1.396,0.75,0.19426
l059,d1,t5,1.167,0.78333,0.60987
l060,d1,t1,0.771,0.81667,0.03623
l061,d1,t2,0.769,0.85,0.28288
l062,d1,t4,0.764,0.88333,0.21791
l063,d1,t9,1.234,0.91667,0.96787
l064,d1,t9,0.706,0.95,0.13723
l065,d1,t5,1.473,0.98333,0.58145
l066,d2,t9,1.255,0.04167,0.34503
l067,d2,t2,1.45,0.125,0.07827
l068,d2,t9,1.132,0.20833,0.23874
l069,d2,t6,1.444,0.29167,0.56029
l070,d2,t6,1.002,0.375,0.37032
l071,d2,t1,0.578,0.45833,0.4368
l072,d2,t9,0.953,0.54167,0.3747
l073,d2,t6,1.411,0.625,0.7849
l074,d2,t6,1.094,0.70833,0.69824
l075,d2,t6,1.376,0.79167,0.89869
l076,d2,t6,0.977,0.875,0.81083
l077,d2,t9,0.699,0.95833,0.29272
l078,d3,t2,0.591,0.01316,0.44019
l079,d3,t1,0.864,0.03947,0.63622
l080,d3,t1,1.064,0.06579,0.72683
l081,d3,t0,1.294,0.09211,0.77744
l082,d3,t9,1.39,0.11842,0.27784
l083,d3,t9,0.648,0.14474,0.37053
l084,d3,t1,1.428,0.17105,0.09439
l085,d3,t2,1.423,0.19737,0.46763
l086,d3,t9,1.25,0.22368,0.53326
l087,d3,t9,1.142,0.25,0.29549
l088,d3,t7,0.913,0.27632,0.57086
l089,d3,t2,0.873,0.30263,0.7448
l090,d3,t3,1.322,0.32895,0.58125
l091,d3,t8,1.476,0.35526,0.0937
l092,d3,t9,0.619,0.38158,0.92348
l093,d3,t4,0.719,0.40789,0.66139
l094,d3,t8,1.447,0.43421,0.05913
l095,d3,t9,1.398,0.46053,0.51283
l096,d3,t1,0.793,0.48684,0.8561
l097,d3,t0,1.485,0.51316,0.55961
l098,d3,t2,0.863,0.53947,0.08536
l099,d3,t9,0.744,0.56579,0.80063
l100,d3,t1,1.409,0.59211,0.57841
l101,d3,t8,0.764,0.61842,0.44535
l102,d3,t5,1.361,0.64474,0.0756
l103,d3,t8,1.105,0.67105,0.35957
l104,d3,t0,0.677,0.69737,0.75995
l105,d3,t7,0.973,0.72368,0.43798
l106,d3,t8,1.392,0.75,0.76901
l107,d3,t9,0.943,0.77632,0.26358
l108,d3,t9,1.439,0.80263,0.13232
l109,d3,t6,0.856,0.82895,0.07651
l110,d3,t9,1.121,0.85526,0.40226
l111,d3,t9,1.064,0.88158,0.2726
l112,d3,t2,1.224,0.90789,0.72776
l113,d3,t0,1.373,0.93421,0.88968
l114,d3,t9,1.081,0.96053,0.84822
l115,d3,t9,1.441,0.98684,0.11816
l116,d4,t9,1.234,0.01389,0.13583
l117,d4,t8,1.289,0.04167,0.08638
l118,d4,t8,1.496,0.06944,0.62238
l119,d4,t9,1.202,0.09722,0.61627
l120,d4,t9,1.167,0.125,0.97299
l121,d4,t8,0.777,0.15278,0.02443
l122,d4,t3,0.999,0.18056,0.45912
l123,d4,t4,0.611,0.20833,0.7165
l124,d4,t7,0.973,0.23611,0.12495
l125,d4,t0,1.177,0.26389,0.54933
l126,d4,t9,0.668,0.29167,0.87288
l127,d4,t9,1.49,0.31944,0.41105
l128,d4,t8,1.056,0.34722,0.82082
l129,d4,t1,1.378,0.375,0.32139
l130,d4,t9,1.477,0.40278,0.09255
l131,d4,t4,1.228,0.43056,0.3111
l132,d4,t8,1.24,0.45833,0.03871
l133,d4,t9,1.147,0.48611,0.6218
l134,d4,t9,0.876,0.51389,0.64715
l135,d4,t1,1.299,0.54167,0.91846
l136,d4,t9,1.467,0.56944,0.12597
l137,d4,t2,1.283,0.59722,0.04164
l138,d4,t2,0.694,0.625,0.18451
l139,d4,t8,1.425,0.65278,0.12327
l140,d4,t0,0.983,0.68056,0.17377
l141,d4,t8,1.273,0.70833,0.10414
l142,d4,t9,0.593,0.73611,0.19408
l143,d4,t8,0.885,0.76389,0.68932
l144,d4,t8,1.356,0.79167,0.90592
l145,d4,t9,0.773,0.81944,0.54472
l146,d4,t9,0.865,0.84722,0.35691
l147,d4,t9,0.816,0.875,0.37866
l148,d4,t1,1.005,0.90278,0.39726
l149,d4,t7,1.455,0.93056,0.66681
l150,d4,t4,1.312,0.95833,0.76557
l151,d4,t9,0.889,0.98611,0.81885
l152,d5,t9,0.552,0.01389,0.38787
l153,d5,t0,1.134,0.04167,0.87773
l154,d5,t2,0.655,0.06944,0.7918
