id,group,title,source
001,full-lda8,7 Core Metrics,OPC-refined-20260908/en/global/7 Core Metrics.png
002,full-lda8,Dimension-Topic Heatmap,OPC-refined-20260908/en/global/Dimension-Topic Heatmap.png
003,full-lda8,Document Clustering by Dominant Topic,OPC-refined-20260908/en/global/Document Clustering by Dominant Topic.png
004,full-lda8,Document Clusters with Outlier Detection,OPC-refined-20260908/en/global/Document Clusters with Outlier Detection.png
005,full-lda8,Document Volume Over Time,OPC-refined-20260908/en/global/Document Volume Over Time.png
006,full-lda8,Domain Topic Distribution Over Time,OPC-refined-20260908/en/global/Domain Topic Distribution Over Time.png
007,full-lda8,High-Frequency Word Evolution,OPC-refined-20260908/en/global/High-Frequency Word Evolution.png
008,full-lda8,Intertopic Distance Map,OPC-refined-20260908/en/global/Intertopic Distance Map.png
009,full-lda8,Representative Topic Evolution,OPC-refined-20260908/en/global/Representative Topic Evolution.png
010,full-lda8,Top Salient Terms,OPC-refined-20260908/en/global/Top Salient Terms.png
011,full-lda8,Topic Clustering Heatmap with Dendrogram,OPC-refined-20260908/en/global/Topic Clustering Heatmap with Dendrogram.png
012,full-lda8,Topic Coherence,OPC-refined-20260908/en/global/Topic Coherence.png
013,full-lda8,Topic Correlation Network,OPC-refined-20260908/en/global/Topic Correlation Network.png
014,full-lda8,Topic Distribution Similarity Evolution,OPC-refined-20260908/en/global/Topic Distribution Similarity Evolution.png
015,full-lda8,Topic Exclusivity,OPC-refined-20260908/en/global/Topic Exclusivity.png
016,full-lda8,Topic Proportion Distribution,OPC-refined-20260908/en/global/Topic Proportion Distribution.png
017,full-lda8,Topic Strength by Year,OPC-refined-20260908/en/global/Topic Strength by Year.png
018,full-lda8,doc_topic_umap,OPC-refined-20260908/en/global/doc_topic_umap.png
019,full-lda8,Source-to-topic Sankey,OPC-refined-20260908/en/global/source_topic_sankey.png
020,full-lda8,Circular correlation network,OPC-refined-20260908/en/global/topic_network_circular.png
021,full-lda8,topic_similarity,OPC-refined-20260908/en/global/topic_similarity.png
022,full-lda8,topic_table_1,OPC-refined-20260908/en/global/topic_table_1.png
023,full-lda8,Word-cloud grid 1,OPC-refined-20260908/en/global/topic_wordcloud_grid_1.png
024,full-lda8,Word-cloud grid 2,OPC-refined-20260908/en/global/topic_wordcloud_grid_2.png
025,full-lda8,Year-to-topic Sankey,OPC-refined-20260908/en/global/year_topic_sankey.png
026,full-lda8,T1 · Topic 1 Word Cloud,OPC-refined-20260908/en/topic/topic_1/Topic 1 Word Cloud.png
027,full-lda8,T1 · Topic 1 Word Distribution,OPC-refined-20260908/en/topic/topic_1/Topic 1 Word Distribution.png
028,full-lda8,T1 · Topic Evolution,OPC-refined-20260908/en/topic/topic_1/Topic Evolution.png
029,full-lda8,T2 · Topic 2 Word Cloud,OPC-refined-20260908/en/topic/topic_2/Topic 2 Word Cloud.png
030,full-lda8,T2 · Topic 2 Word Distribution,OPC-refined-20260908/en/topic/topic_2/Topic 2 Word Distribution.png
031,full-lda8,T2 · Topic Evolution,OPC-refined-20260908/en/topic/topic_2/Topic Evolution.png
032,full-lda8,T3 · Topic 3 Word Cloud,OPC-refined-20260908/en/topic/topic_3/Topic 3 Word Cloud.png
033,full-lda8,T3 · Topic 3 Word Distribution,OPC-refined-20260908/en/topic/topic_3/Topic 3 Word Distribution.png
034,full-lda8,T3 · Topic Evolution,OPC-refined-20260908/en/topic/topic_3/Topic Evolution.png
035,full-lda8,T4 · Topic 4 Word Cloud,OPC-refined-20260908/en/topic/topic_4/Topic 4 Word Cloud.png
036,full-lda8,T4 · Topic 4 Word Distribution,OPC-refined-20260908/en/topic/topic_4/Topic 4 Word Distribution.png
037,full-lda8,T4 · Topic Evolution,OPC-refined-20260908/en/topic/topic_4/Topic Evolution.png
038,full-lda8,T5 · Topic 5 Word Cloud,OPC-refined-20260908/en/topic/topic_5/Topic 5 Word Cloud.png
039,full-lda8,T5 · Topic 5 Word Distribution,OPC-refined-20260908/en/topic/topic_5/Topic 5 Word Distribution.png
040,full-lda8,T5 · Topic Evolution,OPC-refined-20260908/en/topic/topic_5/Topic Evolution.png
041,full-lda8,T6 · Topic 6 Word Cloud,OPC-refined-20260908/en/topic/topic_6/Topic 6 Word Cloud.png
042,full-lda8,T6 · Topic 6 Word Distribution,OPC-refined-20260908/en/topic/topic_6/Topic 6 Word Distribution.png
043,full-lda8,T6 · Topic Evolution,OPC-refined-20260908/en/topic/topic_6/Topic Evolution.png
044,full-lda8,T7 · Topic 7 Word Cloud,OPC-refined-20260908/en/topic/topic_7/Topic 7 Word Cloud.png
