group,genome_bp,cds
MHQ SAG (N=226),1312058.88,1175.16
MHQ SAG (N=226),3615231.72,3191.64
MHQ SAG (N=226),1586045.25,1547.5
MHQ SAG (N=226),4970560.37,5401.05
MHQ SAG (N=226),2908371.95,2922.2
MHQ SAG (N=226),2030317.44,1954.83
MHQ SAG (N=226),8124539.66,7420.17
MHQ SAG (N=226),1871206.31,1841.04
MHQ SAG (N=226),2902236.55,2944.45
MHQ SAG (N=226),3015199.93,2677.01
MHQ SAG (N=226),2849194.3,2508.65
MHQ SAG (N=226),2230116.12,2133.2
MHQ SAG (N=226),862417.95,809.69
MHQ SAG (N=226),4562835.48,4354.13
MHQ SAG (N=226),2088042.51,1807.23
MHQ SAG (N=226),1858705.17,1825.03
MHQ SAG (N=226),3378161.66,3125.18
MHQ SAG (N=226),2040947.61,1832.88
MHQ SAG (N=226),1443184.88,1499.27
MHQ SAG (N=226),2112143.39,2002.97
MHQ SAG (N=226),3728563.6,3492.96
MHQ SAG (N=226),2952747.68,2786.8
MHQ SAG (N=226),2791930.08,2447.16
MHQ SAG (N=226),3676322.14,3233.83
MHQ SAG (N=226),1494020.2,1381.48
MHQ SAG (N=226),5737124.42,5722.2
MHQ SAG (N=226),2441283.99,2147.86
MHQ SAG (N=226),2253565.65,2001.46
MHQ SAG (N=226),2377617.36,2228.37
MHQ SAG (N=226),3927043.55,3925.45
MHQ SAG (N=226),1520413.71,1439.57
MHQ SAG (N=226),2567222.5,2359.45
MHQ SAG (N=226),3565637.22,3799.72
MHQ SAG (N=226),2253535.1,2056.36
MHQ SAG (N=226),4643676.62,4260.44
MHQ SAG (N=226),2170999.42,2122.68
MHQ SAG (N=226),3250455.41,3331.18
MHQ SAG (N=226),3796411.81,3388.79
MHQ SAG (N=226),1461806.85,1454.27
MHQ SAG (N=226),2235376.65,2061.74
MHQ SAG (N=226),1836151.17,1737.77
MHQ SAG (N=226),966761.76,901.91
MHQ SAG (N=226),4185064.82,3950.17
MHQ SAG (N=226),4795970.01,4754.61
MHQ SAG (N=226),2298280.0,2230.7
MHQ SAG (N=226),3864637.88,3840.43
MHQ SAG (N=226),2027540.91,2007.51
MHQ SAG (N=226),3611028.19,3228.45
MHQ SAG (N=226),1098626.31,922.37
MHQ SAG (N=226),2049758.78,1829.08
MHQ SAG (N=226),1838970.3,1685.88
MHQ SAG (N=226),925748.88,814.11
MHQ SAG (N=226),3672744.64,3466.97
MHQ SAG (N=226),2892242.22,2342.05
MHQ SAG (N=226),2246128.26,2158.32
MHQ SAG (N=226),763806.59,684.18
MHQ SAG (N=226),1957478.8,1748.07
MHQ SAG (N=226),1698207.87,1558.8
MHQ SAG (N=226),1783427.96,1653.27
MHQ SAG (N=226),2803433.41,2674.61
MHQ SAG (N=226),1586991.13,1500.35
MHQ SAG (N=226),1967205.72,1650.21
MHQ SAG (N=226),2585043.3,2367.59
MHQ SAG (N=226),2927411.12,3001.49
MHQ SAG (N=226),1790396.98,1708.51
MHQ SAG (N=226),2902581.31,2798.3
MHQ SAG (N=226),2638723.93,2449.57
MHQ SAG (N=226),1313585.42,1214.1
MHQ SAG (N=226),2732815.79,2424.62
MHQ SAG (N=226),3919232.41,3635.59
MHQ SAG (N=226),1556691.81,1379.76
MHQ SAG (N=226),1842204.09,1731.41
MHQ SAG (N=226),602559.59,584.46
MHQ SAG (N=226),3271733.46,2751.85
MHQ SAG (N=226),2989561.57,2871.39
MHQ SAG (N=226),7238081.48,6633.47
MHQ SAG (N=226),1861132.9,1979.16
MHQ SAG (N=226),826778.73,750.18
MHQ SAG (N=226),1325797.01,1286.96
MHQ SAG (N=226),1924196.42,1694.65
MHQ SAG (N=226),1943785.97,1787.49
MHQ SAG (N=226),849188.2,809.79
MHQ SAG (N=226),4028333.74,4177.18
MHQ SAG (N=226),1465522.09,1483.55
MHQ SAG (N=226),2535262.95,2543.79
MHQ SAG (N=226),1966170.48,2025.82
MHQ SAG (N=226),3396942.08,3075.54
MHQ SAG (N=226),4194301.1,3825.68
MHQ SAG (N=226),1596726.24,1513.06
MHQ SAG (N=226),7179503.41,7279.73
MHQ SAG (N=226),3566872.89,3321.38
MHQ SAG (N=226),3404145.45,3179.27
MHQ SAG (N=226),3236735.48,2997.29
MHQ SAG (N=226),4493534.08,4143.64
MHQ SAG (N=226),4846973.37,4786.56
MHQ SAG (N=226),1540173.36,1441.29
MHQ SAG (N=226),2247621.51,2033.56
MHQ SAG (N=226),1614513.03,1521.4
MHQ SAG (N=226),1119737.81,1017.57
MHQ SAG (N=226),2190062.12,2236.76
MHQ SAG (N=226),701789.97,743.97
MHQ SAG (N=226),2392748.8,2296.71
MHQ SAG (N=226),3551078.95,3750.07
MHQ SAG (N=226),4688074.09,4872.98
MHQ SAG (N=226),2715814.67,2286.14
MHQ SAG (N=226),3600011.64,3321.53
MHQ SAG (N=226),1419284.63,1249.84
MHQ SAG (N=226),3192472.2,2892.44
MHQ SAG (N=226),2628125.56,2474.88
MHQ SAG (N=226),4489667.04,3747.44
MHQ SAG (N=226),3527561.56,3211.15
MHQ SAG (N=226),2632565.61,2437.6
MHQ SAG (N=226),1413460.28,1274.49
MHQ SAG (N=226),2462122.26,2311.53
MHQ SAG (N=226),3715813.37,3556.61
MHQ SAG (N=226),3766279.83,2950.96
